날짜,경유,도시가스,등유,부탄가스,석유류,전기료,지역난방비,취사용LPG,휘발유,자동차용LPG
2005-01-01,77.492,80.537,88.586,56.456,89.345,102.549,65.946,61.172,95.269,93.313
2005-02-01,78.823,78.153,91.095,55.76,89.827,102.549,68.837,57.234,96.696,86.155
2005-03-01,82.37,78.153,96.211,55.993,92.427,102.549,68.837,57.11,99.245,86.155
2005-04-01,85.295,72.39,101.027,56.573,94.449,102.549,68.561,57.048,100.875,86.155
2005-05-01,83.789,75.079,99.723,57.673,94.063,102.549,68.561,60.002,99.855,91.138
2005-06-01,84.852,74.158,98.619,58.601,94.063,102.549,68.7,60.064,99.651,91.138
2005-07-01,92.831,76.079,103.134,58.717,97.144,102.549,68.7,59.695,102.402,85.34
2005-08-01,94.693,76.156,103.736,58.427,98.878,102.549,69.457,61.357,104.033,88.511
2005-09-01,97.441,76.156,107.146,58.311,101.958,102.549,69.457,61.48,108.006,88.421
2005-10-01,97.619,76.156,107.548,58.659,102.055,102.549,69.527,63.756,107.395,91.138
2005-11-01,94.959,79.614,103.835,59.644,100.899,102.549,69.527,69.603,105.154,99.111
2005-12-01,93.807,79.691,103.435,60.688,100.224,102.549,69.732,69.911,104.135,100.56
2006-01-01,95.757,83.764,105.642,62.194,101.091,104.087,69.732,69.972,104.848,99.201
2006-02-01,96.378,83.764,107.247,63.123,101.67,104.087,79.575,69.972,105.255,99.201
2006-03-01,97.088,83.994,106.044,63.353,101.67,104.087,79.575,69.972,105.255,99.201
2006-04-01,100.102,83.918,107.649,63.469,103.114,104.087,79.575,67.941,107.395,94.037
2006-05-01,103.028,83.841,110.357,63.353,104.365,104.087,79.575,63.633,109.739,85.884
2006-06-01,102.939,83.841,110.056,63.586,104.462,104.087,79.575,64.803,109.536,88.693
2006-07-01,106.929,89.527,110.458,62.89,105.809,104.087,79.575,66.095,109.739,90.685
2006-08-01,107.019,89.527,110.959,63.586,106.195,104.087,81.16,68.064,109.841,93.221
2006-09-01,105.067,96.52,110.357,63.876,104.751,104.087,81.16,70.464,106.988,97.933
2006-10-01,99.924,96.52,105.24,63.933,100.706,104.087,81.504,70.219,102.708,97.933
2006-11-01,97.974,90.603,102.131,63.992,98.588,104.087,81.504,68.557,100.772,94.401
2006-12-01,97.796,90.526,102.531,63.933,98.301,104.087,81.228,66.525,101.18,89.87
2007-01-01,96.999,88.144,101.027,63.933,98.01,104.498,81.228,66.525,101.282,89.87
2007-02-01,96.555,88.144,99.521,62.89,97.914,104.498,80.196,70.28,100.365,95.668
2007-03-01,98.24,86.146,101.027,63.992,100.418,104.498,80.196,70.219,104.236,94.309
2007-04-01,101.343,86.146,103.936,64.049,103.594,104.498,80.126,69.972,108.21,94.49
2007-05-01,102.584,89.451,105.642,63.759,105.328,104.498,80.126,70.895,110.146,96.846
2007-06-01,103.294,89.451,105.942,63.296,106.097,104.498,80.264,71.695,110.86,98.205
2007-07-01,104.536,91.91,106.645,63.237,106.677,104.498,80.264,73.665,110.758,100.832
2007-08-01,106.929,91.91,107.448,61.905,106.291,104.498,80.333,73.358,109.942,95.668
2007-09-01,107.815,97.827,108.351,62.6,106.677,104.498,80.333,73.358,109.637,97.571
2007-10-01,110.476,97.827,110.959,62.368,108.023,104.498,80.677,73.542,110.758,96.936
2007-11-01,115.264,100.286,120.39,63.179,112.452,104.498,86.597,76.495,114.325,101.103
2007-12-01,118.013,100.363,126.008,63.876,115.533,104.498,86.734,80.495,116.362,107.989
2008-01-01,120.229,96.675,115.976,65.151,117.556,104.498,86.734,89.235,118.298,119.585
2008-02-01,119.963,96.675,113.668,65.788,117.17,104.498,86.804,89.296,118.095,119.495
2008-03-01,124.661,96.597,121.794,67.817,119.289,104.498,86.804,88.128,119.52,115.056
2008-04-01,132.11,98.673,136.341,69.092,122.947,104.498,86.804,88.188,120.641,114.965
2008-05-01,144.345,98.75,154.7,70.426,131.996,104.498,86.804,90.834,128.079,119.042
2008-06-01,156.315,98.826,173.762,72.048,142.105,104.498,86.804,97.973,136.129,128.826
2008-07-01,158.089,98.903,176.772,72.86,144.513,104.498,86.804,101.235,138.269,134.08
2008-08-01,146.207,98.903,166.138,77.786,135.848,104.498,94.72,101.358,128.895,134.08
2008-09-01,137.164,98.826,155.503,79.641,129.493,104.498,94.72,98.835,123.698,129.732
2008-10-01,133.174,98.903,148.682,80.163,127.567,104.498,94.72,101.358,122.171,133.356
2008-11-01,118.722,103.36,130.924,81.439,115.342,104.498,103.669,101.42,108.72,133.356
2008-12-01,109.234,101.208,113.066,83.003,105.232,104.498,103.669,105.605,95.78,139.697
2009-01-01,108.526,100.978,104.137,82.655,100.996,104.498,104.013,83.943,97.205,106.901
2009-02-01,109.944,100.978,106.144,82.308,107.254,104.498,103.875,83.819,107.803,106.812
2009-03-01,109.146,103.129,107.146,82.134,109.469,104.498,103.875,88.865,110.452,112.701
2009-04-01,112.161,103.129,107.949,81.785,111.105,104.498,103.875,88.496,112.185,112.701
2009-05-01,111.274,102.975,106.945,81.844,108.987,104.498,95.339,80.557,111.573,100.742
2009-06-01,117.302,103.052,111.561,81.728,112.839,104.498,95.339,77.727,116.565,94.853
2009-07-01,119.52,108.124,114.77,81.612,114.378,104.498,95.339,77.849,117.891,94.853
2009-08-01,121.204,108.202,115.976,81.496,116.977,104.498,99.126,82.281,120.335,101.376
2009-09-01,122.003,108.202,116.477,80.975,117.747,104.498,99.126,82.342,121.252,101.376
2009-10-01,118.013,108.279,113.367,80.801,114.09,104.498,99.126,82.281,116.769,101.285
2009-11-01,121.825,108.356,117.782,80.859,117.556,104.498,102.43,87.326,119.317,107.989
2009-12-01,121.027,108.432,117.479,81.265,117.747,104.498,102.43,91.204,118.705,113.787
2010-01-01,121.978,108.539,119.242,81.554,119.871,104.51,102.513,96.861,119.995,120.647
2010-02-01,121.095,108.539,118.5,82.918,119.502,104.51,102.513,96.667,119.995,120.046
2010-03-01,123.238,108.539,119.613,85.137,121.836,104.51,102.513,99.288,121.967,124.372
2010-04-01,126.518,108.539,122.454,85.904,123.678,104.51,102.513,97.832,124.435,121.728
2010-05-01,127.78,108.539,124.307,85.563,124.169,104.51,102.513,97.25,124.927,120.166
2010-06-01,126.77,108.539,123.69,86.16,123.187,104.51,102.513,97.056,123.818,120.166
2010-07-01,127.401,108.539,124.431,86.075,124.047,104.51,102.513,99.288,124.065,123.411
2010-08-01,127.275,108.431,124.431,86.331,123.187,106.617,99.273,96.861,123.695,118.725
2010-09-01,126.014,114.46,124.061,85.478,121.467,106.617,99.273,93.27,122.584,113.558
2010-10-01,126.14,114.46,124.185,85.819,122.204,106.617,99.375,95.697,122.708,118.484
