,날짜,식료품 및 에너지제외 지수
0,2005-01-01,74.979
1,2005-02-01,75.129
2,2005-03-01,75.507
3,2005-04-01,75.584
4,2005-05-01,75.584
5,2005-06-01,75.584
6,2005-07-01,75.584
7,2005-08-01,75.735
8,2005-09-01,75.735
9,2005-10-01,75.735
10,2005-11-01,75.811
11,2005-12-01,75.961
12,2006-01-01,76.112
13,2006-02-01,76.339
14,2006-03-01,76.867
15,2006-04-01,76.943
16,2006-05-01,77.171
17,2006-06-01,77.094
18,2006-07-01,77.246
19,2006-08-01,77.246
20,2006-09-01,77.398
21,2006-10-01,77.398
22,2006-11-01,77.549
23,2006-12-01,77.625
24,2007-01-01,77.851
25,2007-02-01,78.229
26,2007-03-01,78.834
27,2007-04-01,78.985
28,2007-05-01,79.06
29,2007-06-01,79.06
30,2007-07-01,79.212
31,2007-08-01,79.287
32,2007-09-01,79.287
33,2007-10-01,79.439
34,2007-11-01,79.513
35,2007-12-01,79.664
36,2008-01-01,80.043
37,2008-02-01,80.345
38,2008-03-01,81.252
39,2008-04-01,81.403
40,2008-05-01,81.705
41,2008-06-01,81.856
42,2008-07-01,82.235
43,2008-08-01,82.235
44,2008-09-01,82.537
45,2008-10-01,82.613
46,2008-11-01,82.915
47,2008-12-01,83.217
48,2009-01-01,83.217
49,2009-02-01,83.596
50,2009-03-01,83.973
51,2009-04-01,83.897
52,2009-05-01,84.2
53,2009-06-01,84.351
54,2009-07-01,84.427
55,2009-08-01,84.502
56,2009-09-01,84.653
57,2009-10-01,84.653
58,2009-11-01,84.879
59,2009-12-01,85.031
60,2010-01-01,85.242
61,2010-02-01,85.414
62,2010-03-01,85.414
63,2010-04-01,85.5
64,2010-05-01,85.672
65,2010-06-01,85.757
66,2010-07-01,85.93
67,2010-08-01,86.102
68,2010-09-01,86.187
69,2010-10-01,86.187
70,2010-11-01,86.187
71,2010-12-01,86.445
72,2011-01-01,86.874
73,2011-02-01,87.217
74,2011-03-01,87.475
75,2011-04-01,87.646
76,2011-05-01,87.99
77,2011-06-01,88.161
78,2011-07-01,88.333
79,2011-08-01,88.505
80,2011-09-01,88.419
81,2011-10-01,88.419
82,2011-11-01,88.59
83,2011-12-01,88.762
84,2012-01-01,88.968
85,2012-02-01,89.312
86,2012-03-01,89.046
87,2012-04-01,89.02
88,2012-05-01,89.286
89,2012-06-01,89.381
90,2012-07-01,89.389
91,2012-08-01,89.535
92,2012-09-01,89.621
93,2012-10-01,89.664
94,2012-11-01,89.801
95,2012-12-01,89.938
96,2013-01-01,90.299
97,2013-02-01,90.531
98,2013-03-01,90.402
99,2013-04-01,90.342
100,2013-05-01,90.685
101,2013-06-01,90.737
102,2013-07-01,90.754
103,2013-08-01,90.711
104,2013-09-01,90.986
105,2013-10-01,91.089
106,2013-11-01,91.32
107,2013-12-01,91.381
108,2014-01-01,91.638
109,2014-02-01,91.793
110,2014-03-01,91.972
111,2014-04-01,92.102
112,2014-05-01,92.325
113,2014-06-01,92.291
114,2014-07-01,92.462
115,2014-08-01,92.591
116,2014-09-01,92.506
117,2014-10-01,92.557
118,2014-11-01,92.54
119,2014-12-01,92.66
120,2015-01-01,93.882
121,2015-02-01,93.995
122,2015-03-01,94.137
123,2015-04-01,94.194
124,2015-05-01,94.383
125,2015-06-01,94.345
126,2015-07-01,94.78
127,2015-08-01,94.969
128,2015-09-01,94.752
129,2015-10-01,94.846
130,2015-11-01,94.903
131,2015-12-01,95.111
