날짜,내구재,섬유제품,집세,공공서비스,외식,외식제외,기타
2005-01-01,91.619,68.107,76.126,85.94,69.295,68.087,72.152
2005-02-01,91.349,68.175,76.126,85.853,69.435,68.295,72.37
2005-03-01,90.989,68.175,76.05,86.112,69.784,69.545,72.37
2005-04-01,90.719,68.175,76.05,85.509,69.925,69.615,72.152
2005-05-01,90.538,68.587,75.974,85.767,70.065,69.545,72.37
2005-06-01,89.548,68.587,75.899,85.853,70.135,69.476,72.443
2005-07-01,89.187,68.587,75.899,86.198,70.135,69.615,72.008
2005-08-01,89.187,68.587,75.899,86.198,70.205,69.893,72.515
2005-09-01,89.548,68.587,75.822,86.284,70.345,69.893,72.587
2005-10-01,89.457,69.343,75.899,86.284,70.415,69.754,72.298
2005-11-01,89.187,69.549,75.899,86.714,70.485,69.893,72.587
2005-12-01,89.818,69.549,75.899,86.801,70.556,70.102,72.732
2006-01-01,89.637,69.549,75.899,87.834,70.765,70.241,72.443
2006-02-01,89.187,69.686,75.974,88.092,70.836,70.657,72.732
2006-03-01,89.096,69.686,75.974,88.351,71.186,71.978,72.732
2006-04-01,89.548,69.686,76.05,88.437,71.186,72.325,72.443
2006-05-01,90.178,70.785,76.126,88.523,71.256,72.325,72.805
2006-06-01,88.557,70.853,76.126,88.609,71.396,72.325,72.805
2006-07-01,88.827,70.853,76.203,89.298,71.537,72.464,72.587
2006-08-01,88.827,70.853,76.278,89.298,71.537,72.464,72.877
2006-09-01,88.646,70.853,76.354,90.417,71.676,72.325,73.021
2006-10-01,88.196,71.402,76.582,90.417,71.747,72.325,73.021
2006-11-01,88.196,71.883,76.734,89.987,71.817,72.395,73.165
2006-12-01,88.196,71.883,76.886,90.159,72.026,72.464,73.239
2007-01-01,88.106,71.883,77.038,90.417,72.167,72.672,73.094
2007-02-01,88.106,72.02,77.19,90.417,72.306,73.298,73.456
2007-03-01,88.016,72.02,77.265,90.676,72.587,74.965,73.456
2007-04-01,88.016,72.02,77.418,91.278,72.657,74.965,73.6
2007-05-01,87.385,72.639,77.494,91.71,72.727,75.104,73.6
2007-06-01,87.205,72.707,77.569,91.71,72.797,75.034,73.673
2007-07-01,87.295,72.776,77.646,92.054,72.867,75.243,73.817
2007-08-01,87.926,72.776,77.798,92.054,72.867,75.382,73.962
2007-09-01,88.286,72.776,77.873,92.742,72.937,75.313,74.179
2007-10-01,88.467,72.982,77.95,92.742,73.008,75.313,74.252
2007-11-01,89.096,73.393,78.177,93.088,73.008,75.313,74.324
2007-12-01,89.096,73.6,78.33,93.173,73.217,75.451,74.324
2008-01-01,90.448,73.6,78.481,93.088,73.708,75.938,74.324
2008-02-01,90.719,73.462,78.634,93.432,74.058,76.286,74.324
2008-03-01,91.71,73.531,78.785,93.69,75.039,78.091,74.614
2008-04-01,91.349,73.531,79.013,94.034,75.39,78.23,74.759
2008-05-01,92.25,74.355,79.165,94.034,75.88,78.3,75.337
2008-06-01,92.431,74.561,79.394,94.034,76.441,78.44,75.555
2008-07-01,93.601,74.561,79.545,94.12,76.791,78.856,75.916
2008-08-01,92.61,74.561,79.697,94.206,77.072,78.994,76.206
2008-09-01,94.141,74.561,79.773,94.206,77.352,78.994,76.64
2008-10-01,95.133,74.63,80.001,94.379,77.632,78.994,76.785
2008-11-01,95.223,75.591,80.153,95.067,77.772,78.994,77.219
2008-12-01,97.745,76.347,80.229,94.81,77.913,79.133,77.508
2009-01-01,97.205,76.347,80.305,95.154,77.982,79.064,77.508
2009-02-01,99.096,76.552,80.305,95.154,78.192,79.272,78.015
2009-03-01,99.818,76.689,80.305,95.412,78.613,79.898,78.449
2009-04-01,98.016,76.689,80.381,95.584,78.963,79.967,77.87
2009-05-01,97.566,78.542,80.533,95.497,79.103,79.967,78.883
2009-06-01,98.287,79.092,80.533,95.671,79.313,79.967,79.1
2009-07-01,98.916,79.161,80.609,96.274,79.383,80.175,79.173
2009-08-01,98.646,79.161,80.76,96.445,79.454,80.314,78.812
2009-09-01,99.187,79.161,80.836,96.445,79.594,80.245,79.028
2009-10-01,99.187,79.161,80.913,96.532,79.734,80.245,78.883
2009-11-01,99.997,80.534,81.064,96.532,79.874,80.245,79.246
2009-12-01,100.178,80.602,81.217,96.532,80.014,80.384,79.318
2010-01-01,101.804,80.487,81.339,97.084,80.347,80.538,78.876
2010-02-01,101.4,80.325,81.503,97.181,80.671,80.783,79.034
2010-03-01,101.097,80.325,81.585,96.987,80.104,81.355,78.402
2010-04-01,101.097,80.325,81.749,96.987,80.509,81.436,78.56
2010-05-01,100.996,80.487,81.913,96.987,80.833,81.6,78.955
2010-06-01,100.895,81.136,82.078,96.987,80.995,81.518,79.271
2010-07-01,100.794,81.136,82.242,97.084,81.076,82.008,79.192
2010-08-01,100.996,81.216,82.324,97.181,81.238,82.171,79.271
2010-09-01,100.794,81.298,82.488,97.181,81.4,82.09,79.509
2010-10-01,100.895,81.298,82.652,97.181,81.562,82.09,79.271
2010-11-01,100.592,82.27,82.899,97.181,81.562,82.171,77.928
2010-12-01,100.491,82.27,83.145,97.084,81.724,82.335,80.062
2011-01-01,101.501,82.352,83.392,97.472,82.129,82.988,79.983
2011-02-01,101.198,82.676,83.638,97.472,83.425,83.233,80.378
2011-03-01,101.198,82.837,84.131,96.599,83.668,84.295,80.694
2011-04-01,100.996,82.837,84.543,96.599,84.153,84.377,80.457
2011-05-01,101.198,83.891,84.953,96.599,84.477,84.54,81.642
2011-06-01,101.198,84.054,85.364,96.599,84.72,84.622,82.037
2011-07-01,100.895,84.054,85.61,96.89,84.882,84.867,82.274
2011-08-01,100.895,84.135,85.939,96.987,85.125,84.948,82.274
2011-09-01,100.895,84.135,86.268,96.308,85.287,84.785,82.511
2011-10-01,100.895,84.135,86.679,96.211,85.287,84.867,81.879
2011-11-01,100.491,86.161,87.089,96.016,85.125,84.948,82.59
2011-12-01,100.592,86.161,87.336,96.308,85.287,85.112,82.828
2012-01-01,100.602,86.153,87.607,96.88,85.45,84.998,83.223
2012-02-01,100.35,86.397,87.845,96.997,85.547,85.43,84.558
2012-03-01,99.986,86.51,88.24,97.268,84.963,84.482,84.606
2012-04-01,99.824,86.517,88.584,97.191,85.028,84.793,83.792
2012-05-01,99.915,87.709,88.856,97.133,85.182,84.956,84.479
2012-06-01,99.421,88.39,89.061,97.346,85.279,84.924,84.519
2012-07-01,99.228,88.39,89.217,97.191,85.344,85.488,83.302
2012-08-01,99.077,88.423,89.381,97.249,85.441,85.757,83.745
2012-09-01,99.138,88.423,89.538,97.249,85.571,85.471,84.851
2012-10-01,98.845,88.423,89.727,97.258,85.628,85.749,84.076
2012-11-01,98.886,89.622,89.957,97.249,85.652,85.627,84.701
2012-12-01,99.017,89.639,90.154,97.268,85.733,85.953,84.59
2013-01-01,99.815,89.639,90.343,97.89,86.049,86.386,84.4
2013-02-01,99.684,89.679,90.499,97.919,86.292,86.86,85.041
2013-03-01,99.471,89.679,90.738,98.006,86.308,86.215,85.175
2013-04-01,98.926,89.687,90.959,97.968,86.527,86.402,83.437
2013-05-01,98.623,90.603,91.157,97.977,86.673,86.615,84.558
2013-06-01,99.097,90.887,91.329,97.997,86.778,86.452,84.567
2013-07-01,99.299,90.887,91.468,97.589,86.794,86.99,83.247
2013-08-01,99.178,90.862,91.657,97.628,86.875,87.276,84.306
2013-09-01,99.613,90.887,91.83,97.618,86.973,86.884,85.301
2013-10-01,100.077,90.887,92.011,97.783,87.045,86.819,85.436
