날짜,경유,등유,석유류,휘발유
2005-01-01,77.492,88.586,89.345,95.269
2005-02-01,78.823,91.095,89.827,96.696
2005-03-01,82.37,96.211,92.427,99.245
2005-04-01,85.295,101.027,94.449,100.875
2005-05-01,83.789,99.723,94.063,99.855
2005-06-01,84.852,98.619,94.063,99.651
2005-07-01,92.831,103.134,97.144,102.402
2005-08-01,94.693,103.736,98.878,104.033
2005-09-01,97.441,107.146,101.958,108.006
2005-10-01,97.619,107.548,102.055,107.395
2005-11-01,94.959,103.835,100.899,105.154
2005-12-01,93.807,103.435,100.224,104.135
2006-01-01,95.757,105.642,101.091,104.848
2006-02-01,96.378,107.247,101.67,105.255
2006-03-01,97.088,106.044,101.67,105.255
2006-04-01,100.102,107.649,103.114,107.395
2006-05-01,103.028,110.357,104.365,109.739
2006-06-01,102.939,110.056,104.462,109.536
2006-07-01,106.929,110.458,105.809,109.739
2006-08-01,107.019,110.959,106.195,109.841
2006-09-01,105.067,110.357,104.751,106.988
2006-10-01,99.924,105.24,100.706,102.708
2006-11-01,97.974,102.131,98.588,100.772
2006-12-01,97.796,102.531,98.301,101.18
2007-01-01,96.999,101.027,98.01,101.282
2007-02-01,96.555,99.521,97.914,100.365
2007-03-01,98.24,101.027,100.418,104.236
2007-04-01,101.343,103.936,103.594,108.21
2007-05-01,102.584,105.642,105.328,110.146
2007-06-01,103.294,105.942,106.097,110.86
2007-07-01,104.536,106.645,106.677,110.758
2007-08-01,106.929,107.448,106.291,109.942
2007-09-01,107.815,108.351,106.677,109.637
2007-10-01,110.476,110.959,108.023,110.758
2007-11-01,115.264,120.39,112.452,114.325
2007-12-01,118.013,126.008,115.533,116.362
2008-01-01,120.229,115.976,117.556,118.298
2008-02-01,119.963,113.668,117.17,118.095
2008-03-01,124.661,121.794,119.289,119.52
2008-04-01,132.11,136.341,122.947,120.641
2008-05-01,144.345,154.7,131.996,128.079
2008-06-01,156.315,173.762,142.105,136.129
2008-07-01,158.089,176.772,144.513,138.269
2008-08-01,146.207,166.138,135.848,128.895
2008-09-01,137.164,155.503,129.493,123.698
2008-10-01,133.174,148.682,127.567,122.171
2008-11-01,118.722,130.924,115.342,108.72
2008-12-01,109.234,113.066,105.232,95.78
2009-01-01,108.526,104.137,100.996,97.205
2009-02-01,109.944,106.144,107.254,107.803
2009-03-01,109.146,107.146,109.469,110.452
2009-04-01,112.161,107.949,111.105,112.185
2009-05-01,111.274,106.945,108.987,111.573
2009-06-01,117.302,111.561,112.839,116.565
2009-07-01,119.52,114.77,114.378,117.891
2009-08-01,121.204,115.976,116.977,120.335
2009-09-01,122.003,116.477,117.747,121.252
2009-10-01,118.013,113.367,114.09,116.769
2009-11-01,121.825,117.782,117.556,119.317
2009-12-01,121.027,117.479,117.747,118.705
2010-01-01,121.978,119.242,119.871,119.995
2010-02-01,121.095,118.5,119.502,119.995
2010-03-01,123.238,119.613,121.836,121.967
2010-04-01,126.518,122.454,123.678,124.435
2010-05-01,127.78,124.307,124.169,124.927
2010-06-01,126.77,123.69,123.187,123.818
2010-07-01,127.401,124.431,124.047,124.065
2010-08-01,127.275,124.431,123.187,123.695
