날짜,TV,김치냉장고,냉장고,보온매트,블랙박스,세탁기,소파,소형주방가전,손목시계,식기세척기,식탁,에어컨,영상음향기기,의자,장롱,저장장치,전기레인지,전기밥솥,전자레인지,책상,청소기,침대,컴퓨터,컴퓨터소모품,헬스기구,휴대전화기,냄비,식기,실내화,의류건조기,침구,커튼,프라이팬,서적,악기,의료측정기,장난감
2005-01-01,643.754,135.722,89.814,,,87.231,65.644,118.672,95.533,,50.863,84.28,176.343,75.622,58.754,257.499,,129.501,97.202,60.497,99.474,58.979,306.054,66.669,,270.293,82.056,58.562,69.857,,69.362,94.899,88.547,65.681,78.832,,83.218
2005-02-01,632.873,135.854,89.633,,,85.285,65.644,118.317,95.63,,53.585,84.28,169.415,75.622,58.754,256.988,,129.63,97.396,60.497,99.572,58.979,303.822,66.139,,270.293,82.138,61.632,69.857,,69.709,93.392,89.355,66.41,80.857,,83.386
2005-03-01,627.432,135.854,89.362,,,84.693,65.644,118.317,95.63,,53.585,84.28,168.095,76.0,58.754,255.455,,130.02,97.3,60.497,98.697,58.979,302.427,66.206,,252.226,82.22,59.344,70.139,,69.709,95.183,89.535,66.475,80.857,,83.808
2005-04-01,627.432,135.591,89.181,,,84.862,65.644,118.317,95.343,,53.585,80.723,165.951,76.0,58.754,255.199,,130.02,97.3,60.497,98.017,58.979,294.894,66.271,,252.226,82.22,59.104,70.278,,69.709,94.146,89.355,66.475,81.019,,83.976
2005-05-01,625.014,135.722,89.181,,,85.031,65.644,118.317,95.63,,53.585,80.641,163.971,76.0,58.754,255.199,,130.02,97.3,60.497,97.628,58.979,290.71,66.337,,252.226,82.549,59.586,70.349,,69.709,94.146,89.893,66.41,80.938,,84.145
2005-06-01,612.322,134.407,89.181,,,84.947,65.644,118.081,95.63,,53.585,80.236,162.817,76.0,58.754,254.688,,129.891,96.622,60.497,97.24,58.979,271.18,66.404,,232.048,83.124,62.053,70.349,,69.571,94.146,89.984,66.475,81.667,,84.988
2005-07-01,605.672,133.749,89.091,,,85.285,65.644,117.963,95.247,,53.585,79.913,162.817,75.926,58.754,254.177,,130.02,96.816,60.497,97.142,58.979,266.437,66.337,,217.267,81.891,58.984,70.349,,69.571,94.146,89.984,66.475,81.586,,85.241
2005-08-01,603.86,133.749,89.0,,,84.778,65.644,117.963,95.63,,53.585,79.347,162.651,75.697,58.754,254.943,,129.891,96.332,60.497,95.297,58.979,266.158,66.271,,222.194,81.891,60.669,70.139,,69.571,92.637,89.984,65.616,81.505,,84.651
2005-09-01,602.045,133.355,88.91,,,83.762,65.644,117.728,95.63,,53.585,79.266,162.486,75.395,58.754,254.688,,129.891,96.332,60.497,95.782,58.979,265.88,66.073,,211.87,82.713,61.511,70.067,,69.571,94.146,89.984,65.814,81.424,,84.651
2005-10-01,581.494,122.177,94.155,,,83.593,65.644,117.373,95.247,,53.585,79.266,162.156,75.395,58.754,255.711,,130.02,96.429,60.497,95.782,58.979,260.858,66.206,,211.636,81.316,58.683,70.067,,69.571,94.146,89.984,65.88,81.262,,84.651
