날짜,경승용차,소형승용차,중형승용차,대형승용차,다목적승용차,수입승용차,자동차타이어,자전거
2005-01-01,80.14,90.594,92.559,94.287,95.921,,79.149,54.726
2005-02-01,80.14,90.594,92.559,94.287,95.921,,79.149,54.726
2005-03-01,80.14,90.594,92.559,94.664,95.921,,79.068,54.672
2005-04-01,80.14,90.594,93.024,94.664,96.113,,79.068,54.672
2005-05-01,80.14,90.594,93.024,94.664,96.113,,78.988,54.617
2005-06-01,81.78,90.594,93.024,94.664,96.113,,79.229,54.562
2005-07-01,81.78,90.594,93.024,94.664,96.113,,80.751,54.509
2005-08-01,81.78,90.594,93.024,94.664,96.113,,81.231,54.453
2005-09-01,84.65,94.08,93.397,94.664,96.113,,81.231,54.509
2005-10-01,84.65,94.08,93.77,94.664,96.113,,81.391,54.509
2005-11-01,84.65,94.08,93.77,94.664,96.497,,80.991,54.453
2005-12-01,84.65,94.08,93.77,94.664,96.497,,80.991,54.29
2006-01-01,85.143,95.275,95.445,97.219,98.515,,80.991,54.18
2006-02-01,85.143,95.275,95.445,97.219,98.515,,80.991,54.126
2006-03-01,85.143,95.275,95.445,98.07,98.612,,80.991,54.072
2006-04-01,85.143,95.275,95.445,98.07,98.612,,80.991,55.709
2006-05-01,86.127,95.275,95.445,98.07,98.42,,80.991,55.6
2006-06-01,86.127,95.275,95.445,98.07,98.42,,81.071,55.6
2006-07-01,86.127,95.458,95.445,98.164,98.42,,84.515,55.49
2006-08-01,86.127,95.458,96.097,98.164,98.42,,84.756,55.49
2006-09-01,86.127,95.366,96.469,98.638,98.42,,84.836,55.49
2006-10-01,86.127,95.366,96.469,98.638,98.42,,84.836,54.944
2006-11-01,86.948,95.366,96.469,98.638,98.42,,84.756,54.944
2006-12-01,86.948,95.366,96.469,98.638,98.42,,84.836,54.89
2007-01-01,86.948,95.366,96.469,98.638,98.42,,84.836,54.836
2007-02-01,86.948,95.366,96.469,98.638,98.42,,84.996,54.726
2007-03-01,86.948,95.366,96.469,98.638,98.708,,84.756,54.672
2007-04-01,86.948,95.366,96.469,98.638,98.901,,84.996,54.672
2007-05-01,86.948,95.366,96.842,98.638,98.901,,84.996,54.672
2007-06-01,87.357,95.642,96.842,98.638,98.901,,85.237,57.346
2007-07-01,87.357,95.642,97.866,98.164,98.901,,86.438,57.4
2007-08-01,87.357,95.642,97.866,98.164,98.901,,88.041,58.11
2007-09-01,87.357,96.009,97.866,98.164,98.901,,88.921,58.764
2007-10-01,87.357,96.009,97.866,98.164,98.035,,89.002,59.037
2007-11-01,87.357,96.009,97.866,98.164,98.035,,89.002,59.037
2007-12-01,87.357,96.009,97.866,98.164,98.035,,89.162,59.474
2008-01-01,85.471,96.009,97.866,98.731,98.035,,89.082,59.474
2008-02-01,82.928,96.009,97.866,98.731,98.035,,89.082,62.801
2008-03-01,82.928,96.1,97.866,98.826,98.035,,92.927,64.766
2008-04-01,82.928,96.1,97.866,98.826,98.035,,93.888,65.202
2008-05-01,82.928,96.1,97.866,98.826,98.131,,94.128,70.931
2008-06-01,82.928,96.1,97.866,98.826,98.131,,94.288,72.35
2008-07-01,82.928,96.1,97.866,98.826,98.131,,98.774,73.005
2008-08-01,83.912,97.202,98.983,100.339,99.574,,99.897,73.332
2008-09-01,84.814,97.202,98.983,100.339,99.574,,100.457,73.823
2008-10-01,84.814,97.202,99.542,100.339,99.574,,100.457,73.932
2008-11-01,84.814,97.202,99.542,100.339,99.574,,100.297,74.26
2008-12-01,84.814,97.202,99.542,100.339,99.574,,100.217,74.26
2009-01-01,84.814,95.458,97.68,96.935,97.074,,100.217,74.315
2009-02-01,83.83,95.091,96.935,96.557,96.786,,100.137,83.535
2009-03-01,83.83,95.091,96.469,96.368,96.786,,99.817,85.281
2009-04-01,83.83,95.091,96.469,96.368,96.786,,99.817,85.554
2009-05-01,83.83,95.091,96.469,96.368,96.786,,99.015,85.773
2009-06-01,83.83,95.55,97.587,97.124,97.555,,98.774,85.881
2009-07-01,83.83,98.303,99.263,100.623,101.592,,98.614,85.991
2009-08-01,83.83,97.937,99.076,100.623,101.496,,98.375,85.881
2009-09-01,85.225,97.477,98.704,100.434,102.649,,98.454,85.991
2009-10-01,85.225,97.937,100.473,100.434,102.553,,98.375,86.154
2009-11-01,84.158,97.202,100.473,100.718,102.457,,98.134,86.21
2009-12-01,84.158,97.202,100.473,101.663,102.457,,98.214,86.1
2010-01-01,84.17,96.949,100.845,101.241,101.83,104.025,98.227,85.609
2010-02-01,83.654,96.852,100.845,101.241,101.523,104.025,98.227,81.486
2010-03-01,86.403,96.176,100.845,100.74,101.319,104.025,102.533,80.677
2010-04-01,86.403,96.176,100.341,100.74,102.647,104.025,102.841,80.111
2010-05-01,86.403,95.692,101.755,100.14,102.238,104.025,102.943,79.95
2010-06-01,86.403,95.209,101.958,100.14,102.238,104.025,102.943,80.354
2010-07-01,86.833,95.209,101.958,100.14,102.238,104.025,102.635,80.354
2010-08-01,86.833,97.239,101.553,99.74,102.034,104.025,102.635,80.354
2010-09-01,86.833,98.302,101.553,99.139,102.034,102.164,102.739,80.354
2010-10-01,85.888,97.529,100.239,99.139,102.34,102.164,102.841,80.273
2010-11-01,85.287,97.239,100.239,99.04,102.034,102.164,102.841,80.273
2010-12-01,85.287,97.239,100.239,99.04,103.158,102.164,108.891,80.273
2011-01-01,85.63,97.722,101.048,101.241,102.851,104.025,109.608,80.354
2011-02-01,88.378,97.626,100.239,101.44,103.158,101.647,110.634,81.89
2011-03-01,87.777,97.818,100.239,101.44,103.158,101.647,110.838,83.022
2011-04-01,87.777,98.109,100.644,101.241,102.545,101.854,116.273,83.426
2011-05-01,91.814,98.109,100.542,101.84,103.158,102.268,116.888,83.507
2011-06-01,91.213,98.012,100.341,101.341,103.158,102.268,116.888,83.345
2011-07-01,91.213,98.109,100.341,101.14,103.77,100.406,116.888,83.345
2011-08-01,91.213,98.689,100.441,101.04,104.077,99.786,116.786,83.426
2011-09-01,91.213,98.689,101.048,101.04,104.179,97.304,116.888,83.264
2011-10-01,91.814,98.689,101.149,102.641,104.179,97.201,116.683,83.103
2011-11-01,91.385,98.496,100.845,103.041,103.056,96.477,116.17,83.264
2011-12-01,90.096,98.689,100.745,102.941,102.647,97.614,116.068,83.183
2012-01-01,90.422,99.114,101.472,103.191,103.015,99.331,116.17,83.192
2012-02-01,90.422,99.587,101.604,101.97,103.352,99.331,116.16,83.871
2012-03-01,90.199,98.911,101.523,101.071,102.78,97.501,116.303,90.847
2012-04-01,89.976,99.027,101.442,100.52,102.126,97.501,115.822,90.968
2012-05-01,90.422,99.027,101.442,100.52,103.423,97.956,115.73,91.122
2012-06-01,91.075,98.602,101.442,100.47,103.331,98.317,115.504,91.162
2012-07-01,91.522,98.157,101.897,100.47,104.199,97.956,115.412,91.211
2012-08-01,93.051,98.689,101.897,100.47,104.322,97.956,115.33,91.162
2012-09-01,93.97,98.881,99.118,98.689,102.586,97.397,115.371,90.944
2012-10-01,93.248,98.881,99.118,98.689,103.127,97.097,115.381,90.977
2012-11-01,93.06,98.881,101.138,99.85,103.291,97.097,115.114,90.904
2012-12-01,92.784,98.881,101.128,100.43,103.291,97.097,115.084,90.904
2013-01-01,93.669,100.719,102.695,101.031,105.241,99.962,115.053,90.904
2013-02-01,93.669,101.453,102.695,101.031,104.935,99.135,115.257,90.968
2013-03-01,93.669,101.231,102.533,100.92,104.935,99.135,115.155,91.082
2013-04-01,93.669,101.047,102.533,100.92,104.72,99.135,114.971,91.583
2013-05-01,92.389,99.936,101.887,100.77,104.843,99.135,114.305,91.583
2013-06-01,94.382,99.936,102.493,100.92,104.587,99.135,114.427,91.615
2013-07-01,93.643,99.278,102.493,100.92,105.006,98.162,114.376,91.615
2013-08-01,92.716,100.235,102.2,100.92,105.262,98.162,114.213,91.615
2013-09-01,94.906,100.235,102.684,101.061,104.639,98.162,114.213,91.551
2013-10-01,94.88,100.361,101.988,100.9,104.639,101.554,114.171,91.542
2013-11-01,94.03,99.037,101.372,100.46,103.934,102.236,114.119,91.542
2013-12-01,93.128,98.428,100.552,100.02,103.168,102.236,114.15,91.542
2014-01-01,96.195,100.912,101.958,99.67,103.658,101.927,114.068,91.542
2014-02-01,94.486,100.68,101.351,99.67,103.822,101.927,114.191,93.894
2014-03-01,93.497,100.1,100.705,99.56,103.607,101.927,113.935,94.946
2014-04-01,93.497,100.225,102.412,99.56,103.699,101.927,113.72,94.97
2014-05-01,93.91,100.921,103.099,99.56,103.699,101.927,113.842,94.922
2014-06-01,93.91,100.332,102.311,100.22,103.545,101.927,113.966,94.897
2014-07-01,94.202,100.332,102.311,100.35,103.658,101.233,113.842,94.776
2014-08-01,94.202,100.128,102.311,100.31,103.352,99.165,113.658,94.744
2014-09-01,93.283,99.858,102.311,100.51,103.862,99.165,113.197,94.744
2014-10-01,92.87,99.858,102.311,100.45,103.862,99.165,113.167,94.759
2014-11-01,92.415,99.568,101.209,99.839,104.117,98.648,112.818,94.662
2014-12-01,91.497,99.568,101.209,99.9,103.955,101.109,112.612,94.662
2015-01-01,99.552,100.164,103.624,99.6,103.486,99.884,112.714,94.964
2015-02-01,97.861,98.611,102.884,99.483,103.403,98.67,112.336,97.061
2015-03-01,96.711,97.988,102.783,99.414,103.176,98.265,111.77,97.256
2015-04-01,95.552,97.81,102.418,98.387,103.249,98.265,111.736,97.411
