구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2008년04월15일,1909.19,1813.92,1815.50,1847.68,1831.81,1829.64,1799.25,1860.09,1849.57,1818.28,1819.83,1804.25,1783.00,1861.60,1828.53,,
2008년04월16일,1923.82,1831.42,1819.25,1854.12,1832.66,1852.87,1824.00,1866.43,1856.33,1768.00,1827.00,1810.66,,1979.00,1851.33,,
2008년04월17일,1933.55,1817.00,1814.05,1861.59,1839.62,1848.28,1818.11,1876.71,1846.16,1800.14,1850.83,1799.35,1843.50,1855.28,1827.50,,
2008년04월18일,1934.86,1828.21,1822.05,1869.52,1843.83,1850.15,1835.54,1877.47,1858.41,1813.11,1840.66,1810.45,1846.60,1861.50,1835.26,,
2008년04월19일,1936.68,1832.38,1827.11,1868.04,1857.29,1846.14,1841.44,1877.62,1859.00,1817.25,1841.00,1815.30,1866.50,1882.12,1833.03,,
2008년04월20일,1929.40,1833.06,1834.05,1863.57,1855.93,1847.61,1838.20,1879.52,1856.33,1827.87,1837.60,1807.00,1859.00,1880.28,1834.46,,
2008년04월21일,1933.11,1833.45,1835.00,1870.60,1865.36,1853.94,1840.33,1882.00,1855.50,1813.87,1844.85,1811.53,1859.00,1866.77,1836.19,,
2008년04월22일,1935.38,1831.82,1833.73,1870.65,1859.88,1857.42,1837.36,1884.70,1859.25,1811.33,1816.33,1837.50,1859.00,1871.14,1840.69,,
2008년04월23일,1947.76,1839.35,1836.11,1882.26,1862.00,1860.80,1831.30,1890.85,1871.81,1829.37,1849.12,1835.26,1853.00,1874.33,1840.96,,
2008년04월24일,1956.41,1845.42,1857.22,1889.34,1862.66,1870.09,1841.90,1904.54,1887.88,1836.33,1871.66,1849.75,1895.66,1895.33,1844.56,,
2008년04월25일,1958.06,1859.03,1856.18,1891.90,1864.00,1873.22,1857.90,1903.42,1880.11,1834.25,1881.60,1859.60,1894.00,1888.77,1847.86,,
2008년04월26일,1963.08,1855.65,1856.51,1894.70,1865.30,1870.76,1859.87,1903.46,1871.25,1829.11,1882.83,1857.75,1865.75,1876.25,1853.45,,
2008년04월27일,1959.95,1861.78,1859.26,1882.27,1862.46,1873.57,1849.20,1907.93,1864.27,1833.10,1878.28,1865.50,1922.33,1897.00,1870.11,,
2008년04월28일,1961.64,1853.50,1862.50,1885.09,1889.95,1873.10,1853.33,1905.87,1868.23,1839.53,1875.66,1863.38,1876.50,1867.00,1868.89,,
2008년04월29일,1965.36,1848.43,1868.28,1875.50,1901.33,1873.70,1858.73,1907.27,1873.66,1842.00,1889.25,1848.00,1879.00,1863.00,1862.87,,
2008년04월30일,1967.47,1857.27,1869.03,1886.58,1899.74,1872.54,1861.33,1912.84,1866.84,1846.12,1844.62,1850.04,1887.75,1869.07,1858.87,,
2008년05월01일,1979.63,1874.64,1875.87,1902.25,1920.66,1882.37,1869.58,1920.38,1884.50,1868.06,1881.30,1862.43,1877.88,1874.38,1877.55,,
2008년05월02일,1985.40,1880.41,1878.00,1904.27,1911.90,1884.19,1875.83,1927.24,1885.20,1862.92,1900.62,1856.04,1875.66,1873.78,1881.40,,
2008년05월03일,1982.74,1881.56,1880.35,1908.34,1919.58,1892.58,1875.12,1925.28,1887.20,1872.76,1903.33,1871.08,1885.25,1867.18,1878.00,,
2008년05월04일,1985.06,1881.72,1877.40,1907.10,1917.08,1884.81,1874.68,1928.42,1874.07,1861.69,1893.00,1866.40,1879.00,1863.91,1886.50,,
2008년05월05일,1983.21,1884.26,1876.93,1908.68,1916.25,1888.61,1877.42,1926.60,1879.13,1855.53,1899.71,1865.21,1890.66,1873.54,1888.05,,
2008년05월06일,1978.69,1876.59,1878.25,1899.17,1908.66,1885.15,1865.12,1928.11,1882.37,1874.71,1898.66,1859.85,1890.87,1878.15,1883.79,,
2008년05월07일,1985.42,1884.47,1888.27,1908.93,1919.00,1891.96,1876.94,1927.67,1887.33,1871.23,1897.38,1860.78,1879.00,1888.57,1886.52,,
2008년05월08일,1984.04,1879.89,1892.84,1909.09,1914.43,1887.46,1871.25,1929.74,1877.64,1867.61,1897.91,1877.00,1876.14,1879.92,1888.77,,
2008년05월09일,1987.13,1876.93,1887.09,1908.68,1916.21,1890.85,1870.55,1926.15,1884.37,1865.76,1879.23,1897.57,1884.00,1895.50,1892.44,,
2008년05월10일,1985.09,1886.62,1886.45,1913.70,1921.75,1896.19,1875.16,1926.95,1891.92,1880.28,1912.15,1909.73,1884.00,1882.68,1889.94,,
2008년05월11일,1985.56,1886.31,1893.85,1914.03,1917.95,1890.86,1886.52,1927.14,1894.17,1875.73,1912.81,1907.55,1891.85,1880.00,1890.68,,
2008년05월12일,1985.34,1889.17,1895.93,1910.78,1921.00,1896.73,1882.00,1930.00,1894.53,1880.50,1907.33,1900.90,1887.75,1888.33,1888.37,,
2008년05월13일,1985.97,1885.83,1896.29,1906.83,1912.80,1899.37,1876.33,1929.16,1881.16,1880.50,1899.64,1900.05,1899.00,1891.35,1894.06,,
2008년05월14일,1996.25,1882.87,1902.42,1924.46,1933.00,1904.75,1883.25,1937.02,1904.53,1870.61,1917.92,1904.73,1911.28,1893.20,1898.79,,
2008년05월15일,2025.01,1902.54,1926.63,1947.43,1944.87,1928.33,1932.47,1959.53,1916.61,1901.00,1943.84,1908.50,1917.75,1921.70,1919.10,,
2008년05월16일,2030.65,1918.69,1943.68,1949.63,1955.80,1931.85,1935.53,1964.87,1928.66,1903.42,1952.46,1914.77,1918.44,1932.61,1933.52,,
2008년05월17일,2028.32,1925.56,1946.85,1952.02,1974.30,1934.66,1940.00,1968.10,1934.15,1903.00,1947.13,1903.43,1926.37,1935.76,1937.72,,
2008년05월18일,2028.65,1924.69,1941.56,1949.40,1970.04,1936.60,1943.43,1973.74,1943.92,1922.16,1949.83,1909.22,1914.00,1939.58,1947.43,,
2008년05월19일,2030.67,1930.96,1948.90,1954.38,1975.91,1930.19,1927.77,1970.23,1938.00,1911.71,1955.62,1913.00,1916.22,1932.61,1943.86,,
2008년05월20일,2029.67,1928.35,1950.68,1951.83,1969.20,1938.70,1939.63,1968.64,1923.21,1920.60,1956.33,1899.71,1918.60,1937.40,1941.75,,
2008년05월21일,2044.11,1935.30,1954.84,1965.53,1969.60,1954.96,1950.61,1986.88,1935.52,1924.33,1962.16,1942.23,1944.00,1952.38,1954.80,,
2008년05월22일,2081.83,1970.63,1984.96,2000.25,1978.65,1983.07,1988.88,2020.82,1976.05,1944.50,1989.87,1985.15,1957.12,1965.69,1977.28,,
2008년05월23일,2082.16,1981.67,1987.00,2013.41,2005.00,1990.39,1992.68,2024.00,1985.28,1977.64,2001.56,1999.60,1988.44,1979.92,1991.32,,
2008년05월24일,2083.16,1981.52,1996.97,2009.71,2004.65,1993.20,1995.38,2028.14,1984.87,1991.21,2005.93,2003.27,1990.87,1983.25,1994.58,,
2008년05월25일,2085.38,1983.73,1995.18,2016.89,2015.29,1991.48,1994.88,2025.04,1990.23,1971.69,2005.00,2004.55,1991.66,1996.30,1993.10,,
2008년05월26일,2090.28,1989.89,1998.77,2011.09,2022.83,1995.00,1998.77,2029.35,1986.47,1966.57,2006.92,1979.75,2007.33,1996.38,1995.10,,
2008년05월27일,2088.33,1983.27,1994.53,2013.70,2021.83,1995.96,2008.11,2030.11,1994.76,1967.42,2007.85,2000.61,1995.11,1993.33,1997.54,,
2008년05월28일,2103.55,1994.31,2008.09,2022.40,2030.33,2011.19,2008.93,2042.12,2004.84,1967.84,2024.30,2003.77,2004.80,2002.53,2012.60,,
2008년05월29일,2131.55,2031.40,2032.63,2056.53,2020.36,2031.03,2040.57,2066.80,2021.92,2011.53,2053.46,2008.21,1997.42,2020.41,2020.37,,
2008년05월30일,2132.53,2044.67,2041.00,2063.13,2030.65,2039.35,2047.62,2076.84,2037.36,2013.33,2059.80,2007.55,2004.62,2022.55,2030.13,,
2008년05월31일,2137.64,2053.82,2045.34,2062.67,2044.16,2039.00,2053.11,2075.67,2035.37,2009.23,2064.61,2004.00,2009.75,2041.06,2040.21,,
2008년06월01일,2135.44,2056.88,2046.96,2062.71,2036.12,2040.10,2046.00,2080.98,2045.86,2015.38,2049.21,2007.82,2007.33,2029.91,2041.40,,
2008년06월02일,2137.37,2052.68,2053.07,2055.03,2045.80,2041.69,2047.25,2073.89,2043.30,2019.45,2057.33,1992.93,2041.85,2047.09,2048.02,,
2008년06월03일,2136.68,2055.79,2047.90,2062.70,2061.34,2050.11,2048.46,2076.43,2047.58,2004.07,2058.25,2014.41,2044.11,2027.10,2044.44,,
2008년06월04일,2138.46,2059.46,2049.19,2066.34,2053.20,2041.88,2056.47,2077.60,2049.93,2031.86,2062.33,2029.88,2040.71,2043.54,2050.94,,
2008년06월05일,2133.61,2057.10,2048.11,2062.28,2063.40,2046.92,2044.41,2074.96,2047.50,2033.41,2060.92,2030.00,2047.66,2053.10,2050.00,,
2008년06월06일,2138.54,2058.69,2049.67,2062.65,2059.39,2039.37,2050.93,2076.40,2059.00,2015.58,2063.00,2034.35,2042.11,2051.38,2055.54,,
2008년06월07일,2137.15,2055.25,2050.33,2063.50,2064.90,2044.69,2052.93,2076.38,2043.52,2022.21,2061.86,2023.10,2044.33,2061.33,2042.48,,
2008년06월08일,2136.70,2055.15,2045.16,2063.33,2062.80,2042.13,2052.71,2076.98,2054.00,2013.84,2059.07,2027.57,2056.00,2062.20,2040.78,,
2008년06월09일,2138.73,2054.38,2056.87,2060.83,2055.60,2043.96,2051.29,2076.56,2044.93,2022.25,2061.86,2029.33,2042.14,2058.00,2046.91,,
2008년06월10일,2137.32,2056.54,2060.86,2062.00,2054.84,2047.19,2049.31,2076.25,2047.46,2020.38,2060.18,2032.30,2048.00,2034.84,2052.90,,
2008년06월11일,2137.02,2056.74,2048.70,2063.51,2058.74,2045.35,2054.11,2076.16,2048.38,2019.71,2049.80,2032.46,2027.33,2049.90,2051.22,,
2008년06월12일,2138.22,2055.31,2057.03,2057.13,2057.30,2048.78,2051.47,2071.62,2045.15,2022.15,2048.18,2037.22,2023.28,2044.61,2043.65,,
