구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2008년04월15일,1217.20,1136.50,1149.41,1134.00,1105.66,1180.00,1156.75,1149.36,1140.90,1141.25,1149.66,1138.16,1112.50,1124.71,1117.00,1220.43,
2008년04월16일,1209.50,1130.66,1180.00,1214.00,1139.50,1143.33,1146.66,1158.58,1139.66,1152.60,1156.33,1150.00,1100.00,1143.22,1107.25,1208.80,
2008년04월17일,1229.63,1151.88,1178.96,1171.30,1091.00,1174.55,1197.33,1170.76,1165.89,1154.70,1168.17,1106.20,1148.00,1149.28,1133.70,1221.65,
2008년04월18일,1202.92,1148.85,1177.04,1201.17,1134.90,1181.60,1183.66,1183.01,1166.24,1168.21,1189.66,1111.16,1143.59,1161.56,1150.79,1220.28,
2008년04월19일,1239.26,1157.50,1185.83,1170.61,1134.14,1145.16,1219.62,1171.50,1173.04,1153.56,1173.72,1138.46,1152.10,1162.92,1148.21,1219.65,
2008년04월20일,1199.47,1141.35,1184.35,1187.80,1150.77,1186.37,1185.45,1178.05,1174.58,1172.76,1200.90,1154.50,1155.41,1168.11,1156.80,1222.11,
2008년04월21일,1224.90,1188.04,1186.83,1182.65,1153.90,1180.93,1220.25,1174.22,1178.19,1165.25,1204.66,1127.66,1156.07,1177.30,1181.17,1244.92,
2008년04월22일,1197.86,1170.41,1159.61,1171.00,1143.18,1197.76,1211.44,1187.00,1173.41,1179.47,1174.92,1148.93,1169.71,1198.20,1153.21,1257.79,
2008년04월23일,1222.72,1219.73,1211.84,1191.88,1170.61,1201.63,1224.87,1188.73,1186.61,1182.71,1186.57,1127.91,1162.20,1186.38,1148.23,1255.90,
2008년04월24일,1219.69,1221.47,1222.08,1189.31,1136.75,1210.63,1198.90,1187.78,1206.54,1184.00,1212.91,1158.33,1190.29,1199.02,1183.02,1252.65,
2008년04월26일,1182.55,1227.25,1233.64,1242.20,1132.00,1230.37,1230.60,1206.81,1218.97,1198.13,1207.20,1184.84,1196.78,1240.54,1196.13,1264.69,
2008년04월27일,1190.00,1209.00,1200.45,1198.81,1167.50,1215.28,1241.08,1171.16,1214.37,1222.45,1225.38,1168.50,1189.64,1216.96,1211.13,1267.88,
2008년04월28일,1187.95,1182.39,1230.05,1193.59,1184.44,1142.33,1230.90,1212.06,1220.52,1166.28,1223.08,1123.50,1197.58,1193.71,1193.95,1285.79,
2008년04월29일,1247.38,1218.09,1232.08,1226.10,1161.08,1254.63,1241.00,1232.56,1228.40,1216.78,1241.10,1189.70,1208.40,1239.15,1236.65,1288.96,
2008년04월30일,1255.25,1219.39,1254.40,1206.52,1227.00,1241.75,1267.80,1233.94,1223.53,1230.47,1248.03,1174.85,1223.82,1229.07,1230.65,1291.02,
2008년05월01일,1291.70,1195.18,1256.36,1218.26,1225.61,1235.80,1274.00,1237.57,1241.30,1248.71,1251.78,1202.72,1237.78,1243.08,1236.59,1282.73,
2008년05월02일,1308.34,1247.04,1234.36,1225.09,1217.44,1259.05,1286.80,1245.25,1240.72,1231.88,1262.75,1178.10,1221.70,1248.65,1209.62,1299.25,
2008년05월03일,1288.69,1270.46,1251.48,1231.40,1184.57,1265.25,1270.90,1255.86,1246.45,1252.75,1241.92,1205.60,1228.13,1251.15,1243.20,1301.47,
2008년05월04일,1259.45,1225.76,1247.60,1248.10,1199.90,1282.20,1291.25,1258.70,1242.35,1218.00,1929.00,1203.83,1255.29,1215.41,1248.75,1303.22,
2008년05월05일,1264.82,1275.30,1276.25,1233.47,1205.21,1251.57,1254.14,1266.20,1235.54,1234.70,1243.27,1225.35,1234.72,1250.27,1239.24,1304.57,
2008년05월06일,1290.43,1241.25,1265.23,1266.45,1247.40,1294.61,1298.00,1263.20,1245.03,1226.55,1248.47,1218.88,1212.52,1252.65,1240.71,1303.17,
2008년05월07일,1270.09,1277.10,1266.67,1274.50,1211.30,1252.56,1269.41,1260.97,1262.89,1245.35,1265.31,1200.81,1239.93,1247.17,1244.86,1304.39,
2008년05월08일,1272.09,1266.33,1255.28,1239.42,1255.55,1243.31,1296.63,1270.46,1246.62,1230.44,1275.19,1191.36,1235.21,1245.29,1238.03,1297.50,
2008년05월09일,1278.64,1230.78,1274.79,1247.54,1237.38,1275.00,1288.00,1248.06,1256.22,1250.60,1264.30,1233.20,1233.43,1251.54,1235.74,1306.86,
2008년05월10일,1268.62,1218.47,1297.36,1261.20,1211.45,1248.45,1252.54,1253.52,1251.58,1224.77,1252.53,1230.33,1245.00,1277.26,1222.55,1302.17,
2008년05월11일,1256.48,1281.33,1278.00,1269.40,1182.87,1249.64,1294.90,1261.77,1250.84,1269.30,1253.25,1221.37,1211.70,1264.06,1253.17,1304.91,
2008년05월12일,1281.30,1257.68,1268.19,1256.50,1184.83,1247.64,1298.30,1252.52,1273.02,1231.41,1270.38,1235.20,1223.50,1256.71,1242.73,1300.11,
2008년05월13일,1272.21,1242.60,1289.77,1264.00,1211.70,1272.26,1298.87,1238.70,1265.73,1262.11,1264.19,1237.75,1244.11,1276.46,1265.00,1308.08,
2008년05월14일,1285.36,1269.47,1294.22,1245.10,1213.80,1283.23,1301.90,1261.26,1277.34,1267.74,1280.76,1242.38,1229.60,1288.66,1273.71,1304.59,
2008년05월15일,1326.93,1290.38,1311.38,1314.78,1210.00,1255.28,1336.85,1266.75,1301.25,1270.24,1306.04,1229.04,1258.33,1303.64,1275.25,1352.25,
2008년05월16일,1304.11,1277.00,1310.18,1310.21,1258.71,1306.70,1322.50,1282.67,1310.86,1297.65,1297.00,1253.90,1281.90,1298.62,1307.25,1355.26,
2008년05월17일,1329.68,1308.10,1315.33,1286.60,1245.40,1302.70,1349.64,1326.26,1298.32,1287.84,1311.78,1234.73,1312.34,1292.40,1292.81,1359.30,
2008년05월18일,1317.52,1242.60,1334.00,1278.69,1282.50,1273.27,1317.61,1296.24,1319.91,1276.76,1319.04,1231.75,1279.64,1325.00,1315.03,1357.00,
2008년05월19일,1321.10,1330.60,1332.05,1314.26,1283.27,1259.77,1374.00,1317.22,1316.77,1313.11,1314.35,1248.00,1290.27,1342.62,1318.52,1358.12,
2008년05월20일,1288.27,1300.90,1331.27,1258.00,1281.90,1338.12,1374.20,1309.52,1316.68,1346.36,1310.54,1223.50,1287.58,1342.18,1313.74,1357.47,
2008년05월21일,1334.14,1335.55,1327.13,1321.90,1311.00,1343.33,1368.78,1317.82,1354.03,1334.80,1353.79,1263.29,1309.86,1358.72,1306.88,1433.52,
2008년05월22일,1443.06,1390.90,1392.53,1413.62,1365.53,1405.06,1398.22,1425.19,1399.44,1393.59,1399.18,1380.67,1347.92,1407.00,1395.68,1452.41,
2008년05월23일,1468.63,1417.23,1415.36,1453.14,1359.00,1432.43,1448.91,1435.56,1406.88,1412.36,1418.48,1384.52,1379.76,1419.52,1419.80,1442.07,
2008년05월24일,1466.50,1414.45,1435.82,1445.94,1388.60,1405.70,1379.85,1439.43,1395.80,1444.26,1425.00,1410.73,1398.25,1416.16,1424.38,1447.72,
2008년05월25일,1500.00,1437.56,1434.10,1439.00,1415.36,1431.43,1467.11,1432.31,1414.62,1454.53,1428.65,1396.17,1416.86,1424.16,1416.00,1452.00,
2008년05월26일,1475.11,1438.10,1433.88,1452.05,1399.36,1435.89,1464.00,1449.00,1423.37,1425.79,1431.55,1393.00,1407.14,1432.81,1429.00,1491.47,
2008년05월27일,1487.69,1439.71,1439.91,1452.11,1397.72,1431.15,1483.90,1443.57,1412.83,1416.50,1423.00,1427.29,1421.90,1445.00,1419.88,1500.82,
2008년05월28일,1402.60,1436.36,1426.86,1417.37,1347.26,1412.55,1410.81,1367.44,1419.92,1390.37,1428.74,1408.52,1430.29,1431.63,1419.86,1502.89,
2008년05월29일,1519.56,1501.33,1503.00,1512.37,1430.57,1495.53,1493.76,1490.51,1466.12,1462.46,1482.81,1428.66,1411.57,1486.85,1481.87,1496.56,
2008년05월30일,1511.33,1492.13,1507.97,1533.47,1420.50,1508.31,1495.90,1513.80,1493.30,1498.74,1498.56,1448.60,1433.04,1492.36,1498.20,1562.16,
2008년05월31일,1538.94,1533.58,1515.02,1539.52,1470.41,1498.80,1548.16,1502.79,1487.91,1501.88,1510.12,1445.15,1463.11,1481.95,1484.71,1552.15,
2008년06월01일,1542.33,1537.66,1527.35,1537.72,1453.45,1511.81,1497.77,1508.84,1482.87,1515.21,1499.42,1456.22,1485.31,1513.71,1510.53,1553.03,
2008년06월02일,1563.14,1514.91,1526.93,1559.41,1446.80,1509.06,1528.75,1535.50,1506.66,1505.04,1520.04,1467.29,1487.33,1532.72,1527.87,1566.66,
2008년06월03일,1576.58,1514.38,1523.83,1537.45,1512.50,1516.57,1539.22,1525.54,1516.20,1524.05,1503.42,1458.32,1489.11,1525.38,1497.48,1554.57,
2008년06월04일,1573.80,1535.66,1524.47,1546.73,1492.55,1511.86,1532.80,1526.56,1506.21,1526.00,1495.06,1468.06,1500.94,1521.84,1508.11,1553.95,
2008년06월05일,1560.88,1520.87,1521.52,1538.80,1490.00,1516.65,1528.57,1516.95,1506.63,1529.21,1501.04,1482.72,1514.77,1531.26,1517.20,1554.79,
2008년06월06일,1554.25,1521.09,1524.10,1540.21,1499.37,1531.29,1540.00,1528.59,1506.15,1513.70,1520.21,1500.00,1497.75,1537.20,1521.80,1554.85,
2008년06월07일,1553.38,1520.71,1515.11,1546.61,1510.45,1513.60,1543.28,1530.09,1507.27,1514.75,1510.55,1492.53,1489.54,1526.91,1521.29,1559.38,
2008년06월08일,1558.41,1514.57,1518.71,1538.40,1510.69,1538.21,1538.75,1532.43,1517.90,1498.26,1511.07,1493.91,1520.23,1524.96,1516.56,1555.93,
2008년06월09일,1566.25,1523.07,1519.51,1538.15,1507.50,1514.72,1530.10,1519.75,1510.65,1522.77,1511.00,1491.43,1508.47,1523.04,1523.64,1517.20,
2008년06월10일,1557.47,1534.76,1515.53,1534.75,1516.00,1520.57,1531.26,1525.53,1511.40,1512.45,1505.33,1492.23,1519.57,1526.02,1518.04,1520.70,
2008년06월11일,1556.89,1530.64,1515.36,1528.00,1495.00,1521.10,1537.20,1521.90,1504.26,1529.79,1501.30,1505.25,1510.38,1532.81,1506.52,1520.83,
2008년06월12일,1525.46,1522.41,1502.55,1510.37,1468.90,1509.00,1528.00,1511.66,1502.76,1512.05,1504.91,1490.66,1516.84,1525.70,1519.53,1519.42,
2008년06월13일,1537.78,1506.44,1505.65,1517.00,1499.92,1512.42,1510.42,1510.14,1501.05,1518.50,1502.77,1484.43,1527.09,1523.32,1519.09,1515.73,
2008년06월14일,1527.80,1499.91,1511.14,1514.50,1509.00,1501.84,1523.50,1507.96,1497.41,1505.61,1495.65,1476.65,1509.91,1524.92,1523.21,1512.78,
2008년06월15일,1536.25,1523.00,1505.85,1515.50,1485.30,1506.94,1509.20,1508.24,1496.04,1526.00,1500.00,1513.76,1509.15,1509.35,1515.50,1518.64,
2008년06월16일,1531.37,1514.00,1510.88,1499.35,1499.92,1493.54,1509.27,1495.54,1502.60,1511.88,1496.84,1491.00,1500.76,1523.81,1517.70,1515.51,
2008년06월18일,1537.20,1512.45,1511.47,1497.80,1477.38,1523.50,1503.00,1507.59,1498.36,1515.70,1506.48,1493.60,1515.00,1525.77,1525.31,1497.37,
2008년06월19일,1539.21,1508.76,1512.15,1523.52,1495.92,1515.80,1514.55,1520.14,1499.44,1520.80,1491.18,1497.63,1502.12,1525.77,1516.37,1493.88,
2008년06월20일,1555.80,1527.85,1515.78,1525.66,1482.33,1505.12,1556.25,1516.52,1498.85,1511.80,1504.95,1502.14,1512.64,1521.25,1519.60,1503.43,
2008년06월21일,1543.36,1526.77,1508.70,1520.52,1517.45,1524.35,1529.71,1518.63,1515.50,1514.88,1487.63,1481.88,1504.00,1518.36,1505.48,1499.17,
2008년06월22일,1540.91,1508.75,1512.56,1519.76,1482.75,1519.64,1518.14,1518.46,1497.85,1503.61,1512.25,1498.00,1518.47,1524.51,1524.55,1494.57,
2008년06월23일,1544.41,1507.35,1509.85,1533.11,1477.11,1520.35,1515.54,1516.20,1503.65,1532.09,1506.00,1493.68,1514.47,1527.77,1514.16,1493.30,
2008년06월24일,1543.80,1533.70,1513.84,1517.53,1476.76,1527.68,1530.55,1514.86,1503.63,1523.75,1496.72,1499.40,1497.30,1530.70,1516.52,1495.85,
2008년06월25일,1546.96,1526.36,1512.65,1507.94,1483.42,1517.84,1528.00,1520.61,1503.15,1519.50,1505.26,1489.00,1506.66,1528.26,1521.46,1494.61,
2008년06월26일,1556.13,1485.14,1516.68,1523.30,1471.18,1517.77,1507.54,1518.69,1500.56,1516.52,1503.87,1477.95,1524.23,1529.13,1521.08,1491.12,
2008년06월27일,1551.21,1515.75,1511.38,1529.26,1489.35,1503.55,1532.71,1517.10,1500.59,1517.52,1514.29,1494.03,1501.66,1524.64,1525.36,1496.91,
2008년06월28일,1543.20,1514.87,1515.53,1522.23,1478.90,1514.31,1531.33,1516.81,1499.41,1499.76,1502.36,1484.47,1506.13,1526.66,1521.80,1501.00,
