구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2008년04월15일,1231.13,1178.38,1169.33,1191.27,1120.50,1157.39,1172.35,1172.77,1138.23,1135.36,1145.49,1114.48,1131.45,1140.69,1149.60,1205.07,
2008년04월16일,1240.45,1172.41,1179.00,1183.25,1125.00,1172.00,1186.50,1185.53,1141.05,1154.88,1165.63,1110.62,1136.00,1158.15,1152.40,1241.66,
2008년04월17일,1246.93,1189.91,1181.48,1202.71,1135.82,1190.05,1197.09,1194.50,1167.60,1150.65,1157.93,1133.58,1141.84,1152.00,1165.81,1208.94,
2008년04월18일,1250.23,1201.38,1186.98,1208.64,1149.06,1179.38,1186.28,1200.10,1173.38,1150.52,1161.69,1132.75,1150.62,1156.83,1174.30,1218.50,
2008년04월19일,1261.38,1209.18,1192.37,1203.90,1160.56,1179.16,1207.33,1206.26,1175.94,1169.37,1165.45,1137.94,1158.36,1165.09,1178.49,1218.86,
2008년04월20일,1241.59,1216.18,1194.25,1223.89,1147.84,1162.00,1209.09,1204.41,1170.13,1170.36,1173.57,1141.20,1167.89,1171.25,1186.04,1214.95,
2008년04월21일,1251.78,1216.52,1211.07,1232.70,1155.97,1187.95,1211.86,1207.17,1180.34,1169.57,1176.67,1142.85,1160.45,1176.72,1187.60,1235.88,
2008년04월22일,1252.56,1224.36,1202.56,1238.53,1163.34,1192.68,1214.23,1207.23,1182.67,1182.06,1177.78,1157.23,1169.98,1183.59,1188.70,1247.96,
2008년04월23일,1253.80,1225.22,1209.91,1222.64,1163.06,1185.11,1227.57,1211.67,1189.12,1188.00,1185.50,1166.53,1176.68,1185.43,1197.51,1248.25,
2008년04월24일,1264.95,1229.29,1228.10,1238.36,1170.07,1213.40,1223.31,1222.32,1203.54,1197.63,1199.49,1171.48,1189.52,1198.14,1206.23,1252.58,
2008년04월25일,1273.16,1250.54,1225.62,1247.40,1187.57,1220.88,1241.90,1237.70,1209.49,1207.50,1204.37,1186.50,1200.89,1213.23,1218.39,1271.56,
2008년04월26일,1272.68,1254.33,1231.28,1248.37,1186.58,1232.23,1248.23,1241.58,1222.75,1218.85,1212.25,1183.97,1202.47,1221.03,1224.77,1256.25,
2008년04월27일,1259.28,1259.57,1239.38,1251.51,1194.58,1229.73,1250.17,1243.87,1219.42,1214.68,1218.88,1194.61,1215.08,1223.82,1232.10,1267.66,
2008년04월28일,1301.44,1259.56,1244.82,1255.31,1217.31,1239.50,1268.08,1249.61,1241.59,1227.31,1211.79,1193.43,1214.29,1223.41,1233.65,1284.10,
2008년04월29일,1300.81,1264.39,1249.89,1270.86,1207.89,1246.06,1269.31,1255.86,1229.86,1218.15,1221.98,1197.94,1224.38,1235.46,1241.80,1290.46,
2008년04월30일,1306.99,1272.43,1250.93,1260.53,1220.67,1234.88,1264.34,1260.43,1231.19,1233.32,1228.58,1204.81,1228.36,1238.66,1241.58,1289.74,
2008년05월01일,1326.30,1274.88,1257.64,1288.96,1225.88,1241.35,1285.50,1271.29,1238.27,1230.45,1232.89,1206.19,1231.27,1238.96,1245.09,1290.35,
2008년05월02일,1332.36,1277.66,1263.38,1278.52,1229.20,1260.17,1284.13,1280.19,1241.30,1237.70,1239.43,1214.65,1236.70,1244.12,1255.80,1290.46,
2008년05월03일,1333.24,1281.56,1268.34,1299.40,1246.96,1253.52,1293.36,1276.65,1243.56,1230.85,1245.05,1215.90,1235.31,1246.46,1260.51,1301.76,
2008년05월04일,1321.64,1282.04,1262.71,1298.27,1230.80,1254.00,1282.64,1277.67,1246.36,1244.91,1247.25,1213.10,1235.64,1248.39,1265.81,1298.27,
2008년05월05일,1325.61,1282.72,1266.63,1298.37,1238.67,1251.31,1291.32,1286.28,1247.39,1234.18,1240.20,1216.69,1239.45,1254.39,1262.14,1307.39,
2008년05월06일,1336.75,1282.31,1265.49,1294.05,1236.71,1259.02,1290.91,1286.68,1254.03,1251.27,1247.38,1220.55,1239.60,1252.72,1265.11,1303.87,
2008년05월07일,1333.50,1284.39,1266.65,1295.74,1236.77,1263.90,1289.68,1285.71,1250.30,1242.11,1250.96,1220.72,1246.04,1252.76,1265.89,1297.83,
2008년05월08일,1337.34,1284.01,1270.13,1308.54,1247.20,1254.48,1289.51,1287.47,1254.86,1248.20,1256.62,1229.00,1239.65,1260.00,1266.64,1296.81,
2008년05월09일,1333.58,1289.32,1275.32,1298.50,1244.80,1272.00,1294.64,1287.18,1259.07,1260.60,1250.75,1242.80,1242.92,1259.96,1271.51,1300.21,
2008년05월10일,1336.00,1298.13,1282.29,1295.58,1246.31,1273.50,1294.13,1286.29,1257.17,1262.04,1256.17,1243.32,1242.73,1265.99,1272.54,1308.00,
2008년05월11일,1342.09,1296.54,1285.44,1307.97,1248.96,1287.90,1299.12,1284.22,1260.49,1252.74,1260.16,1248.04,1249.29,1269.46,1279.71,1297.10,
2008년05월12일,1338.66,1290.05,1280.23,1304.24,1250.97,1265.95,1301.04,1290.55,1264.05,1271.39,1257.28,1246.90,1244.53,1274.90,1275.97,1303.87,
2008년05월13일,1335.25,1289.51,1283.85,1312.62,1251.26,1269.95,1300.85,1287.72,1270.13,1270.27,1260.46,1253.44,1250.50,1275.21,1280.97,1300.14,
2008년05월14일,1336.00,1298.46,1294.22,1307.32,1260.53,1278.00,1287.05,1295.24,1275.45,1274.66,1264.59,1257.73,1260.41,1283.23,1284.70,1297.14,
2008년05월15일,1375.63,1314.51,1309.95,1343.62,1281.15,1303.92,1325.83,1320.91,1297.20,1290.11,1292.08,1267.23,1269.44,1297.26,1301.92,1354.25,
2008년05월16일,1388.10,1337.72,1328.12,1365.40,1291.12,1319.69,1347.91,1341.58,1304.12,1305.77,1301.64,1274.62,1292.90,1314.92,1320.17,1339.26,
