,날짜,농산물및석유류제외지수,농산물및석유류
0,2005-01-01,73.675,75.553
1,2005-02-01,73.824,77.374
2,2005-03-01,74.195,78.721
3,2005-04-01,74.195,79.196
4,2005-05-01,74.269,78.088
5,2005-06-01,74.195,76.108
6,2005-07-01,74.195,79.038
7,2005-08-01,74.269,80.463
8,2005-09-01,74.343,83.315
9,2005-10-01,74.343,82.443
10,2005-11-01,74.343,79.592
11,2005-12-01,74.492,80.622
12,2006-01-01,74.64,83.234
13,2006-02-01,74.788,83.234
14,2006-03-01,75.234,83.551
15,2006-04-01,75.307,83.948
16,2006-05-01,75.605,83.156
17,2006-06-01,75.605,81.414
18,2006-07-01,75.753,83.234
19,2006-08-01,75.827,87.432
20,2006-09-01,75.827,88.7
21,2006-10-01,75.827,85.057
22,2006-11-01,75.901,81.017
23,2006-12-01,76.05,82.363
24,2007-01-01,76.197,82.523
25,2007-02-01,76.495,84.344
26,2007-03-01,77.014,84.186
27,2007-04-01,77.238,85.452
28,2007-05-01,77.238,85.928
29,2007-06-01,77.311,85.057
30,2007-07-01,77.459,87.037
31,2007-08-01,77.534,87.037
32,2007-09-01,77.608,90.679
33,2007-10-01,77.682,91.472
34,2007-11-01,77.756,90.996
35,2007-12-01,77.905,92.264
36,2008-01-01,78.349,92.105
37,2008-02-01,78.646,92.264
38,2008-03-01,79.537,91.71
39,2008-04-01,79.908,93.214
40,2008-05-01,80.279,96.223
41,2008-06-01,80.65,98.678
42,2008-07-01,81.021,100.896
43,2008-08-01,81.17,98.52
44,2008-09-01,81.54,95.669
45,2008-10-01,81.688,94.006
46,2008-11-01,81.911,89.254
47,2008-12-01,82.282,86.007
48,2009-01-01,82.431,86.007
49,2009-02-01,82.727,89.096
50,2009-03-01,83.098,91.234
51,2009-04-01,83.246,92.66
52,2009-05-01,83.395,91.155
53,2009-06-01,83.469,89.888
54,2009-07-01,83.618,91.867
55,2009-08-01,83.692,93.531
56,2009-09-01,83.765,93.452
57,2009-10-01,83.84,91.155
58,2009-11-01,83.988,91.313
59,2009-12-01,84.063,93.056
60,2010-01-01,84.334,96.529
61,2010-02-01,84.504,97.759
62,2010-03-01,84.419,100.014
63,2010-04-01,84.589,102.165
64,2010-05-01,84.758,101.653
65,2010-06-01,84.843,99.194
66,2010-07-01,85.013,100.014
67,2010-08-01,85.183,102.576
68,2010-09-01,85.268,108.928
69,2010-10-01,85.268,109.646
70,2010-11-01,85.268,104.83
71,2010-12-01,85.523,106.264
72,2011-01-01,86.118,111.081
73,2011-02-01,86.711,112.311
74,2011-03-01,86.966,114.257
75,2011-04-01,87.136,112.823
76,2011-05-01,87.476,110.671
77,2011-06-01,87.816,109.543
78,2011-07-01,88.07,112.311
79,2011-08-01,88.155,117.536
80,2011-09-01,88.07,117.127
81,2011-10-01,87.986,116.512
82,2011-11-01,88.24,115.179
83,2011-12-01,88.58,114.77
84,2012-01-01,88.759,117.526
85,2012-02-01,88.869,120.303
86,2012-03-01,88.648,123.04
87,2012-04-01,88.657,122.834
88,2012-05-01,88.869,122.466
89,2012-06-01,89.107,118.347
90,2012-07-01,89.098,116.081
91,2012-08-01,89.243,119.381
92,2012-09-01,89.387,125.642
93,2012-10-01,89.362,123.89
94,2012-11-01,89.43,119.34
95,2012-12-01,89.574,119.689
96,2013-01-01,89.931,122.281
97,2013-02-01,90.152,123.562
98,2013-03-01,90.041,123.736
99,2013-04-01,90.041,122.26
100,2013-05-01,90.381,118.562
101,2013-06-01,90.509,116.03
102,2013-07-01,90.618,117.065
103,2013-08-01,90.576,121.318
104,2013-09-01,90.898,120.099
105,2013-10-01,90.983,115.959
106,2013-11-01,91.187,113.571
107,2013-12-01,91.298,113.551
108,2014-01-01,91.501,117.321
109,2014-02-01,91.705,118.049
110,2014-03-01,91.969,117.208
111,2014-04-01,92.139,116.102
112,2014-05-01,92.376,115.395
113,2014-06-01,92.453,113.14
114,2014-07-01,92.64,112.833
115,2014-08-01,92.708,114.011
116,2014-09-01,92.657,113.858
117,2014-10-01,92.648,110.538
118,2014-11-01,92.691,107.956
119,2014-12-01,92.801,106.674
120,2015-01-01,93.84,102.673
121,2015-02-01,93.906,101.407
122,2015-03-01,94.01,100.4
123,2015-04-01,94.039,100.5
124,2015-05-01,94.303,100.789
125,2015-06-01,94.322,100.869
126,2015-07-01,94.548,100.42
127,2015-08-01,94.699,100.39
128,2015-09-01,94.529,99.434
129,2015-10-01,94.728,97.52
130,2015-11-01,94.765,95.158
131,2015-12-01,94.964,96.404
132,2016-01-01,95.303,94.809
133,2016-02-01,95.539,96.882
134,2016-03-01,95.605,93.653
135,2016-04-01,95.794,93.693
136,2016-05-01,95.964,92.577
137,2016-06-01,96.04,91.71
138,2016-07-01,95.813,92.019
139,2016-08-01,95.936,93.374
140,2016-09-01,95.974,99.155
141,2016-10-01,96.389,96.543
142,2016-11-01,96.257,96.254
143,2016-12-01,96.143,98.467
144,2017-01-01,96.823,102.982
145,2017-02-01,97.021,103.869
146,2017-03-01,97.002,103.4
147,2017-04-01,97.116,100.759
148,2017-05-01,97.342,99.663
149,2017-06-01,97.333,97.5
150,2017-07-01,97.55,97.022
151,2017-08-01,97.616,102.543
152,2017-09-01,97.493,105.154
153,2017-10-01,97.682,102.095
154,2017-11-01,97.314,97.759
155,2017-12-01,97.484,99.912
156,2018-01-01,97.673,102.503
157,2018-02-01,98.06,106.998
158,2018-03-01,98.248,103.908
159,2018-04-01,98.494,103.5
160,2018-05-01,98.626,102.633
161,2018-06-01,98.541,101.218
162,2018-07-01,98.305,101.527
163,2018-08-01,98.456,109.789
164,2018-09-01,98.777,115.031
165,2018-10-01,98.862,112.091
166,2018-11-01,98.692,105.872
167,2018-12-01,98.711,101.945
168,2019-01-01,98.881,98.945
169,2019-02-01,99.296,99.513
170,2019-03-01,99.164,98.646
171,2019-04-01,99.4,100.44
172,2019-05-01,99.456,101.766
173,2019-06-01,99.4,100.49
174,2019-07-01,99.239,98.646
175,2019-08-01,99.343,100.281
176,2019-09-01,99.372,104.178
177,2019-10-01,99.617,104.327
178,2019-11-01,99.315,101.218
179,2019-12-01,99.438,102.633
180,2020-01-01,99.59,105.28
181,2020-02-01,99.77,104.19
182,2020-03-01,99.67,102.79
183,2020-04-01,99.73,97.12
184,2020-05-01,100.02,93.41
185,2020-06-01,100.18,94.84
186,2020-07-01,99.96,96.25
187,2020-08-01,100.13,100.88
188,2020-09-01,100.28,105.52
189,2020-10-01,99.82,103.92
190,2020-11-01,100.36,97.29
191,2020-12-01,100.5,98.53
192,2021-01-01,100.77,103.79
193,2021-02-01,100.95,108.14
194,2021-03-01,101.1,109.52
