날짜,총지수,생활물가지수,식품,쌀,국수,라면,두부,빵,떡,국산쇠고기,수입쇠고기,돼지고기,닭고기,햄및베이컨,기타육류가공품,고등어,오징어,조개,어묵,우유,발효유,달걀,참기름,식용유,사과,포도,귤,수박,바나나,배추,상추,시금치,깻잎,부추,무,당근,감자,콩나물,버섯,오이,풋고추,호박,토마토,파,양파,마늘,김,사탕,아이스크림,비스킷,스낵과자,파이,소금,간장,밑반찬,냉동식품,즉석식품,편의점도시락,삼각김밥,커피,주스,두유,생수,탄산음료,소주,맥주,막걸리,김치찌개백반,된장찌개백반,비빔밥,해장국,돼지갈비(외식),삼겹살(외식),냉면,칼국수,자장면,짬뽕,김밥,떡볶이,치킨,햄버거,피자,커피(외식),기타음료(외식),소주(외식),맥주(외식),구내식당식사비,식품 이외,담배,남자하의,남자내의,여자하의,여자내의,티셔츠,유아동복,양말,운동화,상수도료,하수도료,공동주택관리비,쓰레기봉투료,전기료,도시가스,가전제품렌탈비,부엌용용구,세탁세제,섬유유연제,부엌용세제,소염진통제,조제약,건강기능식품,병원약품,생리대,마스크,외래진료비,한방진료비,약국조제료,치과진료비,휘발유,경유,도로통행료,도시철도료,시내버스료,택시료,택배이용료,휴대전화료,인터넷이용료,장난감,반려동물용품,영화관람료,온라인콘텐츠이용료,방송수신료,유치원납입금,전문대학납입금,사립대학교납입금,초등학생학원비,중학생학원비,고등학생학원비,가정학습지,목욕료,이발료,미용료,치약,샴푸,화장지,기초화장품,보험서비스료,자동차보험료,전월세,생활물가 이외,전·월세포함 생활물가지수
2005-01-01,73.594,73.343,64.908,75.464,,71.203,58.803,52.649,67.749,58.216,71.037,62.996,77.212,73.644,,64.153,32.837,50.28,52.427,54.948,68.794,73.643,67.794,74.655,79.064,107.898,60.66,87.153,55.297,24.198,45.498,35.507,53.348,69.016,35.327,54.593,69.162,64.265,94.762,51.792,57.365,79.112,60.05,38.565,55.449,58.27,,59.835,60.976,41.804,53.789,56.813,51.081,40.95,,,66.258,,,63.026,65.824,,74.652,45.734,69.55,82,,66.334,66.473,68.694,,59.924,56.67,,62.976,60.506,58.512,51.277,,66.503,78.897,75.713,72.769,,72.589,72.414,57.991,77.937,54.618,69.22,65.663,64.574,79.585,62.265,77.164,90.104,86.727,75.99,30.111,53.35,76.791,102.549,80.537,,51.761,111.92,84.629,79.251,72.387,127.989,,,70.594,,73.024,56.674,,82.274,95.269,77.492,,66.261,62.702,54.338,,120.929,99.92,83.218,,65.608,98.027,96.747,82.447,77.178,79.806,61.456,60.331,54.914,85.956,54.782,82.007,62.666,68.272,100.419,74.788,76.14,,77.687,76.126,73.435,73.755
2005-02-01,73.892,73.716,65.827,75.539,,72.359,58.862,52.649,67.749,57.453,72.574,61.854,82.252,75.647,,63.756,33.526,50.686,52.479,54.948,68.794,74.471,67.926,75.166,93.523,107.898,76.945,87.153,59.839,30.398,46.789,40.34,56.294,73.241,40.205,52.496,74.989,64.585,97.888,64.107,73.732,95.253,61.084,40.789,62.842,58.27,,59.835,61.037,42.142,54.495,57.212,50.879,41.407,,,67.531,,,63.159,67.747,,74.652,46.893,69.55,82.329,,66.334,66.473,68.762,,60.106,56.728,,62.976,60.567,58.512,51.225,,66.57,78.897,75.713,72.991,,72.589,72.414,57.991,78.095,54.618,69.22,65.598,64.574,79.585,62.265,77.164,90.104,87.075,77.556,30.825,54.487,76.791,102.549,78.153,,51.812,112.026,82.213,79.33,72.241,127.989,,,70.308,,73.097,56.674,,82.358,96.696,78.823,,66.261,62.954,54.338,,120.929,99.92,83.386,,65.608,98.027,96.747,82.447,77.178,79.806,61.456,61.329,55.822,85.956,54.619,82.007,62.666,69.485,100.518,75.389,75.99,,75.98,76.126,73.657,74.054
2005-03-01,74.338,74.537,66.091,75.391,,72.286,58.627,52.703,67.613,57.335,70.827,61.537,85.079,77.111,,62.338,33.461,50.686,52.479,54.948,68.794,75.436,67.728,74.874,96.489,107.898,82.193,87.153,61.371,33.948,45.229,34.949,50.309,63.103,40.675,50.497,70.888,64.201,95.445,53.364,81.833,79.182,67.634,39.487,72.111,59.076,,59.42,61.037,42.057,54.169,57.155,50.828,42.241,,,67.062,,,63.159,66.952,,74.501,48.339,69.411,82.247,,66.467,66.538,68.694,,60.35,56.901,,63.103,60.567,58.512,51.021,,66.772,78.897,75.713,73.436,,72.589,72.487,59.417,79.208,54.618,69.22,65.598,64.574,79.585,62.265,77.164,90.104,87.075,78.025,30.825,54.27,76.946,102.549,78.153,,51.812,111.394,82.644,79.33,72.314,127.989,,,70.594,,73.171,56.674,,82.358,99.245,82.37,,66.261,63.079,54.338,,120.929,99.92,83.808,,65.608,98.027,96.747,89.141,82.054,84.133,62.457,62.577,56.958,85.956,54.619,82.089,62.666,68.985,100.419,74.863,76.14,,76.212,76.05,73.804,74.728
2005-04-01,74.413,74.612,66.354,75.093,,72.286,58.686,52.703,67.681,56.454,69.428,61.854,86.301,77.342,,59.785,33.789,50.484,52.532,54.892,68.794,75.643,67.465,71.52,100.474,107.898,83.505,87.153,62.62,38.747,43.294,31.231,42.828,51.062,43.791,50.147,66.735,63.88,95.641,43.43,62.205,60.547,69.991,35.691,78.677,59.479,,59.302,60.853,41.93,54.278,57.269,50.575,42.032,,,66.727,,,66.005,66.619,,74.428,48.484,69.273,82.165,,66.467,66.538,68.694,,60.411,57.131,,63.166,61.239,59.043,51.021,,67.109,78.897,75.713,73.731,,72.662,72.705,59.417,79.208,54.618,69.22,65.467,64.574,79.506,62.265,77.164,89.835,86.727,78.103,30.825,54.65,76.946,102.549,72.39,,51.709,105.818,84.715,79.173,72.387,127.989,,,70.522,,73.171,56.674,,82.44,100.875,85.295,,66.261,63.079,54.338,,120.929,99.92,83.976,,65.608,98.027,96.747,89.141,82.054,84.133,62.52,62.702,57.071,85.956,54.673,82.007,62.728,68.842,98.834,75.163,76.215,,75.747,76.05,73.804,74.803
2005-05-01,74.338,74.462,65.827,75.242,,72.07,58.51,52.649,67.749,56.807,68.31,62.298,86.683,77.419,,63.244,33.723,50.635,52.479,54.892,68.794,73.437,68.783,73.925,101.401,107.898,83.505,83.6,58.817,34.098,42.003,31.185,39.602,35.644,44.202,51.446,66.195,64.137,94.274,38.819,50.514,42.743,60.05,34.172,59.918,58.73,,59.183,60.73,42.142,54.061,57.041,50.676,42.116,,,66.928,,,66.6,66.487,,74.054,48.822,69.203,82.247,,66.334,66.473,68.831,,60.899,57.591,,63.23,61.239,59.043,51.021,,67.176,78.897,75.713,73.731,,72.662,72.778,59.655,79.208,54.618,69.22,65.467,64.574,79.585,64.38,77.622,90.104,86.641,78.103,30.825,53.566,76.946,102.549,75.079,,51.349,106.977,84.37,78.7,72.459,127.989,,,70.664,,73.171,56.674,,82.523,99.855,83.789,,66.261,63.079,54.338,,120.929,99.92,84.145,,65.608,98.027,96.747,89.231,82.054,83.966,62.583,62.702,57.071,85.956,54.619,82.007,62.294,68.842,97.547,74.937,75.088,,76.367,75.974,73.804,74.653
2005-06-01,74.114,74.164,64.973,75.316,,72.07,58.627,52.703,67.749,56.631,66.701,67.436,80.419,77.419,,48.725,33.33,51.04,52.479,54.948,68.794,70.126,67.728,71.74,101.401,107.898,83.505,60.108,59.328,30.548,38.023,31.092,35.908,28.726,39.911,48.1,52.277,64.009,93.101,33.802,44.587,38.239,44.19,47.678,48.884,57.347,,59.124,61.099,42.057,53.898,57.098,50.676,41.658,,,66.794,,,66.932,66.289,,74.428,48.484,69.342,82.247,,66.334,66.473,68.899,,60.959,57.649,,63.483,61.239,59.043,51.021,,67.244,78.897,75.713,73.954,,72.662,72.778,59.655,79.208,54.618,69.22,65.467,64.574,79.585,64.38,77.622,90.104,86.815,78.181,30.923,53.729,76.946,102.549,74.158,,51.297,103.611,86.785,78.621,72.532,127.989,,,70.808,,73.244,56.674,,82.605,99.651,84.852,,66.261,63.079,57.038,,120.929,99.92,84.988,,65.608,98.027,96.747,89.231,82.054,83.883,62.77,62.702,57.071,85.956,54.4,81.925,61.673,68.985,95.863,74.562,75.013,,76.446,75.899,73.583,74.428
2005-07-01,74.413,74.612,65.499,75.168,,72.214,58.686,52.703,67.613,56.982,67.051,68.769,81.031,77.65,,46.228,32.411,50.484,52.584,54.892,68.794,67.023,67.003,73.925,101.401,143.963,83.505,51.189,54.331,46.397,62.708,59.488,44.09,36.277,58.427,47,37.71,64.009,96.716,44.039,43.554,50.363,43.098,50.933,44.69,56.194,,59.005,62.205,41.973,53.735,56.699,50.524,41.366,,,66.928,,,67.328,66.156,,75.099,48.967,69.411,82.165,,66.334,66.473,68.899,,61.142,57.822,,63.419,61.239,59.043,51.021,,67.512,78.897,75.713,74.175,,72.662,72.633,59.655,79.686,54.618,69.22,65.467,64.574,79.665,64.38,77.622,90.104,86.988,78.181,34.459,53.025,76.946,102.549,76.079,,51.297,100.98,88.252,78.542,72.532,127.989,,,71.521,,73.244,56.674,,82.605,102.402,92.831,,66.261,63.079,57.038,,120.929,99.92,85.241,,65.805,98.027,96.747,89.231,82.054,83.883,62.896,62.702,57.071,85.956,54.509,81.925,61.735,69.699,98.834,75.012,74.637,,76.135,75.899,73.73,74.803
2005-08-01,74.636,74.911,65.762,75.019,,72.502,58.334,52.703,67.884,57.746,67.68,65.787,78.586,77.65,,49.462,32.444,50.484,52.27,54.948,68.794,64.748,66.343,73.489,101.401,88.974,83.505,61.196,54.218,59.345,68.947,85.886,44.417,39.129,70.535,48.899,37.926,63.816,99.548,48.042,40.618,76.272,52.349,60.154,44.69,56.309,,58.946,61.714,41.973,54.387,57.098,50.625,41.157,,,66.928,,,67.395,66.421,,74.428,48.822,69.273,82.247,,66.4,66.538,68.899,,61.081,57.995,,63.483,61.239,59.338,51.072,,67.648,78.897,75.713,74.324,,72.662,72.633,59.655,80.004,54.618,69.22,65.467,64.574,79.506,64.38,77.622,90.014,86.815,78.181,34.004,54.324,76.946,102.549,76.156,,51.555,102.453,87.907,78.937,72.532,127.989,,,72.663,,73.318,56.674,,82.605,104.033,94.693,,66.261,63.079,57.657,,120.929,99.92,84.651,,65.805,98.027,96.747,89.231,82.054,83.883,62.896,62.764,57.128,85.956,54.564,81.843,61.735,71.768,98.736,75.389,74.637,,77.066,75.899,73.878,75.102
2005-09-01,75.008,75.507,66.681,74.277,,72.359,58.569,52.649,67.952,60.273,72.225,66.548,66.977,77.497,,57.232,32.542,50.736,51.853,54.892,68.794,67.23,62.386,72.978,101.401,75.896,83.505,66.344,57.795,88.144,69.699,76.869,48.953,36.435,90.755,50.697,40.246,63.816,106.876,47.586,50.949,80.705,59.015,73.659,48.056,56.367,,59.064,61.837,42.142,54.713,57.383,50.625,41.866,,,67.397,,,67.395,65.758,,75.099,48.774,69.273,82.165,,66.4,66.538,68.899,,61.569,58.11,,63.737,61.239,59.338,51.175,,67.714,78.897,75.713,74.397,,72.662,72.633,59.892,80.402,54.618,69.22,65.402,64.574,79.506,64.38,77.622,89.835,86.815,79.199,34.004,54.758,76.946,102.549,76.156,,51.555,103.189,87.821,78.937,72.603,127.989,,,72.52,,73.318,56.674,,82.605,108.006,97.441,,66.261,63.079,57.657,,120.929,99.92,84.651,,65.805,98.027,96.747,89.231,82.054,83.8,62.896,62.764,57.128,85.956,54.346,81.843,61.859,73.48,98.24,74.487,74.486,,77.066,75.822,74.025,75.55
2005-10-01,74.859,75.432,66.287,73.09,,72.359,58.686,52.491,67.817,61.8,71.456,62.234,63.694,77.497,,57.176,31.624,50.533,51.957,57.055,68.794,64.748,63.177,70.572,95.562,77.084,81.884,66.344,55.013,90.944,69.485,50.518,48.907,43.089,93.283,50.398,39.49,64.073,99.939,58.684,46.653,79.943,57.061,75.829,49.215,56.54,,59.361,62.205,41.973,54.821,57.155,50.473,41.699,,,66.727,,,67.859,65.559,,75.025,49.16,69.273,82.165,,66.4,66.538,68.831,,61.569,58.168,,63.673,61.239,59.338,51.175,,67.782,78.897,75.713,74.472,,72.662,72.705,59.892,80.402,54.618,69.22,65.402,64.574,79.506,66.24,73.344,89.835,86.381,79.199,34.07,54.595,78.57,102.549,76.156,,51.297,100.559,88.424,78.542,72.532,127.989,,,72.377,,73.391,56.674,,82.853,107.395,97.619,,66.261,63.079,57.657,,120.929,99.92,84.651,,65.87,98.027,96.747,89.231,82.054,83.8,63.021,62.764,57.128,85.956,54.727,81.843,61.859,74.194,99.528,75.313,74.562,,77.921,75.899,73.878,75.475
