날짜,신선과실,신선식품,신선식품제외,신선어개,신선채소,총지수
2005-01-01,75.041,59.461,74.347,56.456,50.782,73.594
2005-02-01,80.933,63.293,74.422,56.95,55.719,73.892
2005-03-01,82.638,63.85,74.948,56.51,56.057,74.338
2005-04-01,88.143,64.777,74.948,56.016,54.262,74.413
2005-05-01,85.274,62.181,75.023,56.291,49.492,74.338
2005-06-01,79.382,57.916,74.948,53.488,45.002,74.114
2005-07-01,79.693,60.389,75.173,52.717,52.073,74.413
2005-08-01,77.289,61.995,75.324,53.157,58.077,74.636
2005-09-01,77.523,65.58,75.475,55.08,66.326,75.008
2005-10-01,73.413,63.85,75.475,54.477,65.54,74.859
2005-11-01,64.188,57.978,75.475,54.037,57.853,74.561
2005-12-01,66.746,60.512,75.625,54.421,62.229,74.785
2006-01-01,69.227,63.788,75.85,54.971,68.514,75.231
2006-02-01,67.598,63.17,76.074,55.026,68.289,75.381
2006-03-01,66.668,63.664,76.45,54.421,70.703,75.827
2006-04-01,69.692,63.54,76.6,54.751,67.56,75.902
2006-05-01,70.468,61.069,76.901,54.916,60.209,76.05
2006-06-01,68.839,57.607,76.901,54.641,52.409,75.902
2006-07-01,69.072,58.534,77.201,55.136,54.486,76.199
2006-08-01,75.041,66.198,77.277,55.191,70.197,76.645
2006-09-01,74.033,67.372,77.351,55.136,74.012,76.868
2006-10-01,77.6,63.417,77.201,55.467,60.097,76.496
2006-11-01,74.344,58.967,77.051,55.467,50.67,76.125
2006-12-01,77.211,61.748,77.201,55.467,55.888,76.348
2007-01-01,78.22,62.799,77.277,55.136,57.796,76.496
2007-02-01,85.584,66.446,77.577,55.631,60.826,77.017
2007-03-01,85.972,64.9,78.102,55.631,56.45,77.464
2007-04-01,87.367,64.777,78.478,54.916,55.272,77.761
2007-05-01,85.662,63.293,78.627,54.751,51.792,77.836
2007-06-01,80.623,61.192,78.703,54.477,51.063,77.836
2007-07-01,82.716,63.788,78.854,53.927,57.291,78.134
2007-08-01,80.933,64.282,78.929,54.037,59.985,78.208
2007-09-01,79.77,69.969,79.079,56.07,75.079,78.655
2007-10-01,77.211,70.772,79.229,56.456,79.007,78.803
2007-11-01,67.289,65.333,79.529,55.631,73.564,78.803
2007-12-01,68.762,65.21,79.83,55.741,71.881,79.101
2008-01-01,66.746,64.53,80.28,56.95,70.815,79.472
2008-02-01,67.598,65.395,80.505,58.599,71.207,79.771
2008-03-01,66.513,62.428,81.482,57.224,65.259,80.515
2008-04-01,70.003,62.119,82.007,57.665,60.882,80.962
2008-05-01,71.397,60.82,82.758,58.544,55.608,81.63
2008-06-01,67.522,57.792,83.51,58.929,50.67,82.151
2008-07-01,72.715,59.894,83.96,58.27,52.634,82.747
2008-08-01,70.468,62.304,83.735,59.038,60.209,82.598
2008-09-01,68.762,61.625,83.809,59.313,59.536,82.673
2008-10-01,70.081,59.708,83.885,58.984,53.7,82.598
2008-11-01,67.987,58.967,83.585,59.698,52.858,82.375
2008-12-01,71.166,61.439,83.51,60.578,56.057,82.375
2009-01-01,73.258,65.21,83.434,62.667,63.015,82.45
2009-02-01,72.173,66.322,83.96,63.712,65.989,83.045
2009-03-01,73.878,69.165,84.411,66.57,70.253,83.64
2009-04-01,80.003,71.266,84.561,68.604,69.355,83.862
2009-05-01,77.289,70.34,84.561,69.538,68.233,83.862
2009-06-01,72.638,63.911,84.861,66.625,57.179,83.788
2009-07-01,76.359,64.9,85.162,65.416,57.571,84.086
2009-08-01,72.096,66.136,85.387,66.35,63.351,84.384
2009-09-01,71.01,65.148,85.462,66.02,61.948,84.459
2009-10-01,71.397,63.85,85.387,66.79,57.74,84.235
2009-11-01,64.731,61.563,85.612,67.945,56.45,84.384
2009-12-01,67.289,65.023,85.687,69.044,62.734,84.682
2010-01-01,71.413,70.463,86.032,72.323,71.262,85.351
2010-02-01,73.701,73.589,86.119,73.728,76.528,85.523
2010-03-01,74.599,76.074,86.206,73.136,83.322,85.696
2010-04-01,79.011,79.441,86.379,74.468,87.229,86.041
2010-05-01,82.77,77.838,86.553,74.097,78.311,86.128
2010-06-01,79.175,73.669,86.639,73.432,70.327,86.041
2010-07-01,78.685,74.39,86.9,72.175,72.281,86.214
2010-08-01,86.856,80.483,86.986,72.767,79.415,86.647
2010-09-01,87.918,93.149,87.073,74.542,113.22,87.337
2010-10-01,89.797,93.389,87.16,73.21,112.71,87.337
2010-11-01,88,84.892,87.073,75.355,88.674,86.906
2010-12-01,88.49,84.651,87.42,78.165,85.871,87.251
2011-01-01,94.209,88.9,88.287,81.123,89.778,88.288
2011-02-01,92.33,89.461,88.981,81.123,93.514,88.892
2011-03-01,92.003,88.739,89.328,79.792,92.581,89.238
2011-04-01,95.026,85.694,89.501,80.679,79.586,89.325
2011-05-01,93.474,80.563,89.935,81.049,66.505,89.497
2011-06-01,92.738,78.559,90.195,79.2,63.107,89.67
