,날짜,총지수,식료품 및 비주류음료,주류 및 담배,의류 및 신발,"주택, 수도, 전기 및 연료",가정용품 및 가사 서비스,보건,교통,통신,오락 및 문화,교육,음식 및 숙박,기타 상품 및 서비스
0,2005-01-01,73.594,60.61,60.528,68.925,73.543,74.385,82.937,81.178,117.554,96.606,71.511,69.179,63.238
1,2005-02-01,73.892,61.902,60.589,68.925,73.543,74.459,83.02,81.43,117.554,96.702,71.88,69.25,63.046
2,2005-03-01,74.338,62.087,60.589,68.925,73.69,74.385,83.104,82.355,117.088,96.51,74.018,69.669,64.132
3,2005-04-01,74.413,62.394,60.528,68.995,73.248,74.089,83.186,83.113,117.088,96.223,74.091,69.809,63.876
4,2005-05-01,74.338,61.717,60.589,69.342,73.395,74.089,83.27,82.944,117.088,96.127,74.091,69.949,63.749
5,2005-06-01,74.114,60.61,60.589,69.342,73.248,73.941,83.353,83.196,116.504,95.266,74.091,69.949,63.494
6,2005-07-01,74.413,61.41,60.589,69.342,73.543,73.72,83.353,84.459,116.154,95.458,74.091,70.159,63.43
7,2005-08-01,74.636,61.717,60.589,69.342,73.69,73.72,83.521,85.3,116.271,95.648,74.165,70.159,63.684
8,2005-09-01,75.008,62.948,60.589,69.342,73.838,73.72,83.521,86.646,116.039,96.031,74.165,70.159,63.941
9,2005-10-01,74.859,62.149,60.649,70.036,73.912,73.572,83.603,86.646,116.039,94.691,74.165,70.228,64.132
10,2005-11-01,74.561,59.871,60.649,70.175,74.206,73.572,83.687,86.226,116.039,94.595,74.165,70.369,64.516
11,2005-12-01,74.785,60.856,60.649,70.175,74.28,73.645,83.77,86.057,116.039,94.883,74.165,70.508,65.281
12,2006-01-01,75.231,62.025,60.528,70.175,74.942,73.35,84.772,86.815,115.573,94.883,74.312,70.648,65.154
13,2006-02-01,75.381,61.779,60.467,70.382,75.312,73.35,84.854,87.067,115.573,94.691,74.903,70.719,65.281
14,2006-03-01,75.827,61.841,60.467,70.382,75.238,73.35,84.854,87.151,115.573,94.595,77.557,71.068,65.92
15,2006-04-01,75.902,61.656,60.467,70.382,75.238,73.424,84.854,87.823,115.573,94.499,77.704,71.068,66.815
16,2006-05-01,76.05,61.102,60.406,71.355,75.312,73.645,84.854,88.58,115.573,94.307,77.777,71.138,67.965
17,2006-06-01,75.902,60.548,60.406,71.423,75.386,74.089,84.938,88.665,115.338,93.063,77.851,71.278,67.262
18,2006-07-01,76.199,60.918,60.406,71.355,75.901,74.015,85.02,89.337,115.338,93.159,77.851,71.487,67.709
19,2006-08-01,76.645,63.256,60.406,71.423,76.121,74.608,85.104,89.59,114.872,92.776,77.851,71.487,68.028
20,2006-09-01,76.868,63.872,60.528,71.423,76.786,74.754,85.188,89.169,114.872,92.584,77.851,71.558,67.965
21,2006-10-01,76.496,62.517,60.528,71.909,76.711,74.68,85.188,87.656,114.639,92.298,77.851,71.628,67.837
22,2006-11-01,76.125,60.856,60.528,72.465,76.196,74.902,85.104,87.151,114.289,92.202,77.925,71.698,68.156
23,2006-12-01,76.348,61.779,60.528,72.465,76.343,74.977,85.27,87.235,114.289,92.394,77.925,71.907,68.285
24,2007-01-01,76.496,62.087,60.467,72.465,76.417,75.272,86.188,87.319,113.472,92.394,78.294,72.047,68.285
25,2007-02-01,77.017,63.502,60.467,72.535,76.638,75.346,86.355,87.319,112.889,93.063,79.105,72.117,69.05
26,2007-03-01,77.464,62.948,60.528,72.535,76.564,75.568,86.355,88.328,112.773,92.584,82.275,72.467,70.136
27,2007-04-01,77.761,63.132,60.528,72.535,76.638,75.716,86.521,90.599,112.773,92.202,82.422,72.537,70.264
28,2007-05-01,77.836,62.702,60.589,73.089,77.006,75.641,86.521,91.357,112.656,91.723,82.496,72.606,70.264
29,2007-06-01,77.836,62.333,60.77,73.089,77.08,75.716,86.521,91.693,112.54,91.531,82.496,72.677,70.328
30,2007-07-01,78.134,63.132,60.831,73.367,77.374,75.716,86.521,92.114,112.773,91.819,82.569,72.747,70.392
31,2007-08-01,78.208,63.256,60.891,73.367,77.523,76.382,86.438,91.945,112.773,91.531,82.569,72.817,70.775
32,2007-09-01,78.655,65.102,60.891,73.367,78.185,76.752,86.521,92.029,112.773,91.34,82.569,72.747,71.094
33,2007-10-01,78.803,65.225,60.891,73.576,78.258,76.752,86.521,92.366,112.773,91.244,82.643,72.886,71.414
34,2007-11-01,78.803,63.502,60.891,73.924,78.923,76.824,86.605,93.796,112.773,91.244,82.643,72.886,71.988
35,2007-12-01,79.101,63.809,60.891,74.13,79.217,76.677,86.688,94.974,112.773,91.436,82.717,73.027,72.181
36,2008-01-01,79.472,63.994,60.891,74.13,78.996,76.824,87.438,96.236,111.373,92.011,83.159,73.586,73.842
37,2008-02-01,79.771,64.549,60.891,74.062,79.364,76.752,87.771,96.152,111.373,92.394,83.381,73.936,74.543
38,2008-03-01,80.515,64.425,60.891,74.13,79.659,77.046,87.855,96.741,111.373,92.584,86.698,74.915,76.078
39,2008-04-01,80.962,65.41,60.891,74.201,80.323,77.046,87.855,97.834,111.256,92.394,86.919,75.265,76.396
40,2008-05-01,81.63,65.655,60.891,74.963,80.911,78.821,88.105,101.031,111.14,92.488,86.993,75.755,76.525
41,2008-06-01,82.151,65.532,60.891,75.033,81.501,79.634,88.105,104.649,111.14,92.394,86.993,76.314,76.779
42,2008-07-01,82.747,66.763,60.891,75.172,81.723,80.522,88.188,105.91,111.14,93.255,86.993,76.664,77.674
43,2008-08-01,82.598,67.932,61.255,75.242,81.723,80.522,88.272,102.882,111.14,93.734,86.993,77.013,76.525
44,2008-09-01,82.673,68.609,61.255,75.31,81.501,80.892,88.355,100.609,111.14,93.351,87.067,77.154,77.802
45,2008-10-01,82.598,68.055,61.255,75.381,81.501,80.892,88.522,100.358,111.023,93.542,87.067,77.433,78.249
46,2008-11-01,82.375,68.179,61.255,76.075,81.723,81.557,88.605,95.647,111.023,94.595,87.067,77.573,78.313
47,2008-12-01,82.375,69.286,61.255,76.769,81.28,82.0,88.689,92.029,111.023,95.648,87.14,77.713,79.782
48,2009-01-01,82.45,70.764,61.558,76.838,81.06,82.223,89.605,90.431,111.023,95.744,87.14,77.783,79.717
49,2009-02-01,83.045,71.009,61.618,77.046,81.207,82.444,89.688,93.039,111.023,95.17,87.361,77.993,82.082
50,2009-03-01,83.64,72.178,61.679,77.184,81.428,82.518,89.772,93.713,111.023,95.458,88.541,78.482,83.104
51,2009-04-01,83.862,73.348,61.679,76.907,81.428,82.741,89.855,94.47,111.023,95.744,88.689,78.832,81.634
52,2009-05-01,83.862,72.855,61.74,78.92,81.207,82.962,89.939,93.88,111.023,95.553,88.689,78.972,81.698
53,2009-06-01,83.788,70.824,61.74,79.406,81.28,83.628,90.022,95.647,111.023,95.17,88.689,79.112,82.082
54,2009-07-01,84.086,71.378,61.679,79.476,81.87,83.332,90.272,96.91,111.023,95.361,88.763,79.252,82.018
55,2009-08-01,84.384,71.932,61.74,79.198,82.164,83.258,90.356,98.086,111.023,95.553,88.836,79.392,81.89
56,2009-09-01,84.459,71.747,61.8,79.614,82.238,82.888,90.356,98.338,111.023,95.075,88.909,79.462,82.336
57,2009-10-01,84.235,71.316,61.8,79.684,82.164,82.741,90.356,96.992,111.023,95.075,88.909,79.532,82.401
58,2009-11-01,84.384,70.209,61.861,80.864,82.386,83.036,90.439,98.17,110.907,95.266,88.909,79.671,83.167
59,2009-12-01,84.682,71.316,61.921,80.933,82.607,82.962,90.105,98.255,110.79,95.17,88.983,79.882,83.55
60,2010-01-01,85.351,73.039,62.044,80.747,83.012,82.512,91.366,99.06,110.585,95.43,89.355,80.214,84.17
61,2010-02-01,85.523,73.878,62.044,80.666,83.179,82.762,91.457,98.959,110.585,95.526,89.446,80.456,84.339
62,2010-03-01,85.696,74.41,61.92,80.666,83.263,82.595,91.457,99.762,109.926,95.43,90.442,79.972,84.51
63,2010-04-01,86.041,75.553,61.982,80.666,83.263,82.679,91.549,100.565,109.926,95.526,90.622,80.375,84.339
64,2010-05-01,86.128,75.172,61.92,80.828,83.431,83.095,91.64,100.766,109.926,95.815,90.713,80.699,84.68
65,2010-06-01,86.041,74.182,61.982,81.315,83.431,83.178,91.64,100.465,109.926,95.526,90.713,80.861,84.849
66,2010-07-01,86.214,74.563,61.858,81.396,83.514,82.928,91.732,100.967,109.926,96.969,90.713,81.022,85.19
67,2010-08-01,86.647,76.467,61.982,81.396,83.765,83.261,91.823,100.766,109.926,97.161,90.803,81.103,85.275
68,2010-09-01,87.337,80.351,62.044,81.477,84.351,83.428,91.916,99.963,109.926,97.161,90.803,81.265,85.7
69,2010-10-01,87.337,80.504,62.044,81.396,84.435,83.76,91.64,100.164,109.926,96.776,90.894,81.427,85.53
70,2010-11-01,86.906,77.914,62.044,80.909,84.183,83.843,91.732,100.465,109.926,96.584,90.984,81.507,85.785
71,2010-12-01,87.251,77.914,61.982,82.371,84.518,84.176,91.732,102.272,109.265,96.487,90.984,81.588,85.955
72,2011-01-01,88.288,80.504,61.982,82.452,85.355,84.592,92.557,104.48,109.265,97.161,91.437,81.993,86.38
73,2011-02-01,88.892,82.103,61.92,82.533,85.857,85.341,92.923,105.082,109.265,97.161,91.618,83.287,86.72
74,2011-03-01,89.238,81.874,61.92,82.614,86.192,85.756,92.74,107.089,109.156,97.642,91.89,83.529,87.655
75,2011-04-01,89.325,81.189,61.858,82.695,86.443,85.507,92.923,107.39,109.156,97.642,92.071,84.015,87.4
76,2011-05-01,89.497,80.351,62.726,83.669,87.112,86.089,92.923,107.089,109.156,98.123,92.071,84.338,87.995
77,2011-06-01,89.67,80.961,62.664,83.75,87.364,86.422,93.29,106.587,109.156,97.834,92.161,84.5,87.995
78,2011-07-01,90.102,82.484,62.664,84.156,87.53,86.422,93.381,107.892,109.156,98.315,92.161,84.742,87.995
79,2011-08-01,90.707,84.997,62.788,84.237,87.949,86.505,93.565,108.394,109.156,98.123,92.252,85.066,88.08
80,2011-09-01,90.62,84.768,62.788,84.237,88.2,87.004,93.657,108.193,107.067,97.738,92.252,85.147,88.165
81,2011-10-01,90.448,82.788,62.788,83.831,88.954,87.004,93.657,108.895,106.738,97.642,92.343,85.228,88.08
82,2011-11-01,90.534,82.56,62.788,86.022,89.205,87.087,93.657,108.695,105.748,97.545,92.432,84.985,88.251
83,2011-12-01,90.879,83.779,62.726,86.022,89.54,87.503,93.748,108.695,105.419,97.642,92.523,85.147,88.59
84,2012-01-01,91.242,85.287,62.794,85.99,89.899,88.168,94.811,109.136,105.419,97.96,92.777,85.389,86.584
85,2012-02-01,91.588,84.989,63.259,86.736,90.585,88.817,95.132,110.281,105.419,97.728,93.058,85.453,87.01
86,2012-03-01,91.614,85.827,63.166,86.761,90.886,89.008,95.205,111.947,105.419,97.372,92.46,84.879,83.983
87,2012-04-01,91.605,85.5,63.246,86.403,90.978,88.534,93.895,112.529,105.419,98.027,92.922,84.969,84.348
88,2012-05-01,91.769,85.355,63.061,87.832,91.079,89.008,94.059,112.298,105.419,98.162,93.193,85.122,84.399
89,2012-06-01,91.639,84.883,63.259,88.417,91.204,89.025,94.197,111.084,105.419,97.325,93.248,85.211,84.416
90,2012-07-01,91.432,84.304,63.166,88.408,91.681,88.684,93.602,109.136,105.419,98.624,93.411,85.325,83.345
91,2012-08-01,91.855,85.363,63.488,88.408,92.058,88.7,93.574,110.381,105.419,98.345,93.809,85.453,83.889
92,2012-09-01,92.512,88.478,63.804,88.417,92.083,89.258,93.666,111.475,105.419,97.93,93.908,85.486,85.182
93,2012-10-01,92.339,87.061,63.842,88.018,92.343,88.709,93.675,111.425,105.419,98.286,93.954,85.567,85.3
94,2012-11-01,92.011,84.921,63.835,89.479,92.442,88.759,93.72,110.421,105.419,97.623,94.035,85.583,85.028
95,2012-12-01,92.175,85.538,63.904,89.479,92.745,88.244,93.739,110.11,105.419,98.18,94.098,85.672,85.411
96,2013-01-01,92.728,87.29,64.349,89.455,93.28,88.36,94.591,110.421,105.419,98.152,94.66,86.003,85.377
97,2013-02-01,93.038,87.754,64.349,89.641,93.731,89.025,94.637,110.963,105.419,98.027,94.959,86.246,85.581
98,2013-03-01,92.952,86.902,64.492,89.618,94.351,88.925,94.702,111.806,105.419,98.142,94.153,86.246,84.382
99,2013-04-01,92.823,86.992,64.405,88.733,94.418,88.634,94.536,110.843,105.133,98.459,94.225,86.465,84.127
100,2013-05-01,92.823,86.094,64.436,89.925,94.619,88.576,94.866,109.377,105.276,98.97,94.316,86.618,85.292
101,2013-06-01,92.71,85.112,64.443,90.153,94.652,88.967,94.848,109.407,105.276,98.345,94.379,86.723,85.547
102,2013-07-01,92.909,85.728,64.449,89.593,94.769,88.435,93.968,110.311,105.276,100.423,94.407,86.796,85.53
103,2013-08-01,93.238,87.731,64.474,90.161,95.045,88.726,94.051,110.913,105.286,101.125,94.461,86.901,82.129
104,2013-09-01,93.419,87.754,64.498,90.721,95.104,89.125,94.234,110.411,105.22,99.894,94.569,86.909,85.963
105,2013-10-01,93.134,85.79,64.523,90.697,95.272,89.499,94.289,109.98,105.22,99.2,94.597,86.982,86.431
106,2013-11-01,93.116,84.434,64.56,93.277,95.698,90.073,94.289,109.277,105.22,98.286,94.624,87.006,86.601
107,2013-12-01,93.229,84.738,64.536,93.196,95.883,89.416,94.307,109.498,105.22,98.595,94.696,87.095,86.66
108,2014-01-01,93.73,85.705,64.467,93.172,96.777,89.865,95.224,110.321,105.22,99.066,94.986,87.265,86.312
109,2014-02-01,93.98,86.581,64.523,93.18,97.138,90.473,95.205,110.13,105.22,98.2,95.185,87.491,86.941
110,2014-03-01,94.153,86.81,64.436,93.31,97.179,90.681,95.26,110.05,105.22,98.383,95.9,87.459,87.724
111,2014-04-01,94.214,86.733,64.424,93.277,97.321,90.297,95.15,109.879,105.32,99.633,95.936,87.589,87.783
112,2014-05-01,94.369,86.741,64.331,93.74,97.455,91.03,95.196,109.749,105.32,100.393,95.973,87.726,88.174
113,2014-06-01,94.248,86.36,64.294,94.316,97.522,90.498,95.114,109.337,105.232,99.037,95.999,87.783,88.293
114,2014-07-01,94.386,86.635,64.294,94.251,97.455,90.505,95.187,109.307,105.232,100.73,96.009,87.993,88.293
115,2014-08-01,94.551,87.336,64.418,94.276,97.565,90.897,94.802,108.845,105.232,102.076,96.045,88.13,88.378
116,2014-09-01,94.49,87.914,64.418,94.308,97.615,91.595,94.811,107.862,105.177,99.595,96.162,88.292,88.378
117,2014-10-01,94.205,86.201,64.431,94.373,97.732,91.504,95.104,106.988,105.177,99.518,96.136,88.349,88.386
118,2014-11-01,94.015,85.911,64.461,95.298,97.807,91.479,95.123,105.554,105.177,97.816,96.154,88.462,88.072
119,2014-12-01,94.006,86.422,64.455,95.216,97.84,91.645,95.123,103.928,105.077,98.258,96.235,88.534,88.446
120,2015-01-01,94.643,87.795,96.46,95.013,97.329,92.209,96.143,100.439,105.435,98.945,96.691,88.793,89.991
121,2015-02-01,94.587,88.385,96.508,94.831,97.629,93.104,96.336,98.159,105.435,98.292,96.818,88.946,90.118
122,2015-03-01,94.596,87.549,96.479,94.889,96.845,93.393,96.394,99.589,105.425,97.323,97.286,89.495,90.515
123,2015-04-01,94.625,87.461,96.596,94.498,96.961,92.787,96.346,99.559,104.774,98.787,97.52,89.702,90.163
124,2015-05-01,94.89,88.737,96.605,95.117,96.293,93.365,96.336,100.349,104.732,99.192,97.559,89.792,90.343
125,2015-06-01,94.909,88.473,96.518,95.117,96.409,93.244,96.336,101.089,105.309,97.936,97.598,89.936,90.118
126,2015-07-01,95.08,88.244,96.818,95.165,95.857,93.132,96.297,102.279,105.309,100.359,97.657,90.143,90.045
127,2015-08-01,95.213,88.825,96.847,95.27,96.003,93.617,96.326,101.629,105.309,100.597,97.725,90.323,90.488
128,2015-09-01,94.966,88.649,96.789,95.642,96.39,93.216,96.105,99.939,104.858,99.113,97.871,90.431,90.1
129,2015-10-01,94.966,87.769,96.808,95.279,97.271,93.179,96.374,99.569,104.406,99.578,97.881,90.539,90.262
