,날짜,개인서비스,공공서비스,공업제품,농축수산물,상품,서비스,· 가스 · 수도,집세,총지수
0,2005-01-01,68.587,85.94,74.312,62.157,72.856,73.923,,76.126,73.594
1,2005-02-01,68.726,85.853,74.463,64.05,73.521,73.923,,76.126,73.892
2,2005-03-01,69.633,86.112,74.764,64.302,73.817,74.594,,76.05,74.338
3,2005-04-01,69.772,85.509,74.989,64.681,74.113,74.445,,76.05,74.413
4,2005-05-01,69.772,85.767,74.989,63.482,73.743,74.52,,75.974,74.338
5,2005-06-01,69.702,85.853,74.915,61.526,73.152,74.52,,75.899,74.114
6,2005-07-01,69.841,86.198,75.215,62.788,73.743,74.669,,75.899,74.413
7,2005-08-01,69.982,86.198,75.517,63.293,74.113,74.818,,75.899,74.636
8,2005-09-01,70.051,86.284,76.043,65.249,74.999,74.818,,75.822,75.008
9,2005-10-01,69.982,86.284,76.194,63.799,74.704,74.818,,75.899,74.859
10,2005-11-01,70.121,86.714,76.043,60.138,73.67,74.967,,75.899,74.561
11,2005-12-01,70.26,86.801,76.119,61.716,74.187,75.117,,75.899,74.785
12,2006-01-01,70.469,87.834,76.194,63.672,74.704,75.415,,75.899,75.231
13,2006-02-01,70.747,88.092,76.269,63.293,74.704,75.639,,75.974,75.381
14,2006-03-01,71.724,88.351,76.269,63.293,74.704,76.31,,75.974,75.827
15,2006-04-01,71.863,88.437,76.571,62.915,74.851,76.459,,76.05,75.902
16,2006-05-01,71.933,88.523,77.248,61.968,75.073,76.534,,76.126,76.05
17,2006-06-01,72.003,88.609,77.022,60.896,74.629,76.609,,76.126,75.902
18,2006-07-01,72.142,89.298,77.324,61.337,74.999,76.832,,76.203,76.199
19,2006-08-01,72.142,89.298,77.474,65.312,76.107,76.907,,76.278,76.645
20,2006-09-01,72.073,90.417,77.324,66.069,76.181,77.131,,76.354,76.868
21,2006-10-01,72.073,90.417,76.796,63.861,75.221,77.131,,76.582,76.496
22,2006-11-01,72.142,89.987,76.646,61.085,74.408,77.131,,76.734,76.125
23,2006-12-01,72.282,90.159,76.646,62.598,74.778,77.279,,76.886,76.348
24,2007-01-01,72.49,90.417,76.571,63.167,74.926,77.429,,77.038,76.496
25,2007-02-01,72.908,90.417,76.721,65.439,75.59,77.727,,77.19,77.017
26,2007-03-01,74.093,90.676,77.098,64.302,75.59,78.474,,77.265,77.464
27,2007-04-01,74.093,91.278,77.775,63.987,75.96,78.698,,77.418,77.761
28,2007-05-01,74.164,91.71,78.077,63.104,75.96,78.846,,77.494,77.836
29,2007-06-01,74.164,91.71,78.227,62.347,75.887,78.921,,77.569,77.836
30,2007-07-01,74.373,92.054,78.377,63.482,76.33,79.07,,77.646,78.134
31,2007-08-01,74.442,92.054,78.529,63.609,76.477,79.144,,77.798,78.208
32,2007-09-01,74.373,92.742,78.679,66.511,77.364,79.294,,77.873,78.655
33,2007-10-01,74.442,92.742,78.98,66.701,77.659,79.368,,77.95,78.803
34,2007-11-01,74.442,93.088,79.808,63.861,77.512,79.443,,78.177,78.803
35,2007-12-01,74.651,93.173,80.336,64.239,78.029,79.592,,78.33,79.101
36,2008-01-01,75.069,93.088,80.937,64.366,78.546,79.891,,78.481,79.472
37,2008-02-01,75.487,93.432,81.013,65.059,78.768,80.189,,78.634,79.771
