date,cpi_kr,core_cpi_kr,unemployment_seasonal_kr,unemployment_raw_kr,employment_rate_kr,base_rate_kr,m2_money_supply_kr,cd_rate_kr,gov_bond_3y_kr,usd_krw_exchange_rate_kr,gdp_kr,ppi_kr,industrial_production_index_kr,facility_investment_index_kr,manufacturing_utilization_rate_kr,retail_sales_index_kr,services_output_index_kr,economic_sentiment_raw_kr,economic_sentiment_seasonal_kr,import_price_index_kr,import_value_index_kr,export_value_index_kr,trade_balance_kr,jeonse_index_kr,brent_oil,wti_oil_price,gold_price,kospi_index_kr,cpi_us,base_rate_us,unemployment_us
2005-01-01,73.59,74.98,3.8,4.3,58.4,3.25,960.04 ,3.47,3.65,1026.5,311097.1,83.26,66.9,59.1,116.27,61.4,67,95.7,99,83.28,50.33,50.28,-0.05,55.79,45.92,48.2,424.1,932.7,191.6,2.28,5.3
2005-02-01,73.89,75.13,3.6,4.3,58.3,3.25,964.34 ,3.59,4.19,1004.5,313041.43,83.42,66.4,57.2,110.9,62.2,67.5,109.2,100.5,83.23,47.77,45.47,-2.3,55.91,50.06,51.75,437.6,1011.36,192.4,2.5,5.4
2005-03-01,74.34,75.51,3.6,4.1,59.4,3.25,973.60 ,3.55,4.04,1017.5,314985.77,83.5,67.6,56.3,114.02,62.7,67.4,111.9,102.2,84.54,58.91,56.48,-2.43,56.19,54.29,55.4,431.1,965.68,193.1,2.63,5.2
2005-04-01,74.41,75.58,3.7,3.8,60.3,3.25,978.20 ,3.52,3.86,997.1,316930.1,83.73,67.2,56.8,111.04,63.3,67.3,111.4,103.6,85.6,55.07,52.46,-2.61,56.43,51.09,49.72,436.1,911.3,193.7,2.79,5.2
2005-05-01,74.34,75.58,3.7,3.6,60.8,3.25,986.28 ,3.51,3.71,1007.5,318413.17,83.19,67.3,57.9,107.8,63.3,67.5,104.6,104.9,83.69,54.65,52.97,-1.68,56.51,50.73,51.97,418.9,970.21,193.6,3,5.1
2005-06-01,74.11,75.58,3.8,3.6,60.8,3.25,992.83 ,3.51,3.79,1035.5,319896.23,82.81,67.7,59.9,109.11,63.6,68.3,102.6,106,84.92,54.46,54.87,0.41,56.61,55.58,56.5,437.1,1008.16,193.7,3.04,5
2005-07-01,74.41,75.58,3.8,3.7,60.6,3.25,1002.08 ,3.51,4.12,1023.3,321379.3,83.32,68,62.6,108.51,64.1,68.5,99.6,106.9,87.18,54.95,54.29,-0.66,56.66,59.37,60.57,435.8,1111.29,194.9,3.26,5
2005-08-01,74.64,75.74,3.7,3.6,59.7,3.25,1012.82 ,3.5,4.33,1038.5,322608.5,83.55,68.4,57.8,109.26,64.3,68.9,104.1,107.9,88.01,56.4,53.61,-2.79,56.79,67.02,68.94,438.1,1083.33,196.1,3.5,4.9
2005-09-01,75.01,75.74,4,3.6,60.2,3.25,1011.66 ,3.7,4.52,1043.5,323837.7,83.92,68.6,58,110,64.5,68.8,107.4,108.9,89.31,58.79,56.61,-2.18,57.26,63.48,66.24,472.3,1221.01,198.8,3.62,5
2005-10-01,74.86,75.74,3.9,3.6,60.5,3.5,1012.78 ,3.93,4.81,1043.4,325066.9,84.14,69.2,60.5,113.13,64.6,69.1,105.9,109.9,88.81,58.55,58.13,-0.42,57.65,58.1,59.76,466.9,1158.11,199.1,3.78,5
2005-11-01,74.56,75.81,3.6,3.3,60.5,3.5,1013.06 ,3.96,5.1,1037.5,326789.4,83.9,70.8,61.6,116.69,66.1,70.2,110.2,110.8,86.83,60.82,60.56,-0.26,57.77,55.05,57.32,498.7,1297.44,198.1,4,5
2005-12-01,74.79,75.96,3.6,3.5,59.2,3.75,1019.84 ,4.04,5.06,1007.5,328511.9,83.66,69.6,63.5,112.98,68.1,69.6,113.2,111.7,85.95,62.18,58.65,-3.53,57.85,58.98,61.04,519.7,1379.37,198.1,4.16,4.9
2006-01-01,75.23,76.11,3.4,3.8,58.5,3.75,1027.24 ,4.15,5.02,959.87,330234.4,83.95,70.8,63.2,116.2,66,71.1,116.3,112.2,85.14,59.24,53.99,-5.25,58.04,65.99,67.92,575.5,1399.83,199.3,4.29,4.7
