date,CPI,근원CPI,실업률(계절조정),실업률(원계열),고용률,기준금리,M2통화량,CD금리,국고채3년,달러환율,국내GDP,생산자물가지수,산업생산지수,설비투자지수,제조업가동률,소매판매액지수,서비스업생산지수,경제심리지수(원계열),경제심리지수(계절조정),수입물가지수,수입금액지수,수출금액지수,무역수지,전세지수,브랜트유,WTI유,금,코스피,미국cpi,미국기준금리,미국실업률
2005-01-01,73.594,74.979,3.8,4.3,58.4,3.25,0.7,3.47,3.65,1026.5,311097.1,83.26,66.9,59.1,116.268,61.4,67,95.7,99,83.28,50.33,50.28,-0.05,55.79,45.92,48.2,424.1,932.7,191.6,2.28,5.3
2005-02-01,73.892,75.129,3.6,4.3,58.3,3.25,0.4,3.59,4.19,1004.5,313041.4333,83.42,66.4,57.2,110.895,62.2,67.5,109.2,100.5,83.23,47.77,45.47,-2.3,55.91,50.06,51.75,437.6,"1,011.36",192.4,2.5,5.4
2005-03-01,74.338,75.507,3.6,4.1,59.4,3.25,1,3.55,4.04,1017.5,314985.7667,83.5,67.6,56.3,114.023,62.7,67.4,111.9,102.2,84.54,58.91,56.48,-2.43,56.19,54.29,55.4,431.1,965.68,193.1,2.63,5.2
2005-04-01,74.413,75.584,3.7,3.8,60.3,3.25,0.5,3.52,3.86,997.1,316930.1,83.73,67.2,56.8,111.039,63.3,67.3,111.4,103.6,85.6,55.07,52.46,-2.61,56.43,51.09,49.72,436.1,911.3,193.7,2.79,5.2
2005-05-01,74.338,75.584,3.7,3.6,60.8,3.25,0.8,3.51,3.71,1007.5,318413.1667,83.19,67.3,57.9,107.796,63.3,67.5,104.6,104.9,83.69,54.65,52.97,-1.68,56.51,50.73,51.97,418.9,970.21,193.6,3,5.1
2005-06-01,74.114,75.584,3.8,3.6,60.8,3.25,0.7,3.51,3.79,1035.5,319896.2333,82.81,67.7,59.9,109.11,63.6,68.3,102.6,106,84.92,54.46,54.87,0.41,56.61,55.58,56.5,437.1,"1,008.16",193.7,3.04,5
2005-07-01,74.413,75.584,3.8,3.7,60.6,3.25,0.9,3.51,4.12,1023.3,321379.3,83.32,68,62.6,108.507,64.1,68.5,99.6,106.9,87.18,54.95,54.29,-0.66,56.66,59.37,60.57,435.8,"1,111.29",194.9,3.26,5
2005-08-01,74.636,75.735,3.7,3.6,59.7,3.25,1.1,3.5,4.33,1038.5,322608.5,83.55,68.4,57.8,109.258,64.3,68.9,104.1,107.9,88.01,56.4,53.61,-2.79,56.79,67.02,68.94,438.1,"1,083.33",196.1,3.5,4.9
2005-09-01,75.008,75.735,4,3.6,60.2,3.25,-0.1,3.7,4.52,1043.5,323837.7,83.92,68.6,58,110.003,64.5,68.8,107.4,108.9,89.31,58.79,56.61,-2.18,57.26,63.48,66.24,472.3,"1,221.01",198.8,3.62,5
2005-10-01,74.859,75.735,3.9,3.6,60.5,3.5,0.1,3.93,4.81,1043.4,325066.9,84.14,69.2,60.5,113.13,64.6,69.1,105.9,109.9,88.81,58.55,58.13,-0.42,57.65,58.1,59.76,466.9,"1,158.11",199.1,3.78,5
2005-11-01,74.561,75.811,3.6,3.3,60.5,3.5,0,3.96,5.1,1037.5,326789.4,83.9,70.8,61.6,116.693,66.1,70.2,110.2,110.8,86.83,60.82,60.56,-0.26,57.77,55.05,57.32,498.7,"1,297.44",198.1,4,5
2005-12-01,74.785,75.961,3.6,3.5,59.2,3.75,0.7,4.04,5.06,1007.5,328511.9,83.66,69.6,63.5,112.977,68.1,69.6,113.2,111.7,85.95,62.18,58.65,-3.53,57.85,58.98,61.04,519.7,"1,379.37",198.1,4.16,4.9
2006-01-01,75.231,76.112,3.4,3.8,58.5,3.75,0.7,4.15,5.02,959.87,330234.4,83.95,70.8,63.2,116.203,66,71.1,116.3,112.2,85.14,59.24,53.99,-5.25,58.04,65.99,67.92,575.5,"1,399.83",199.3,4.29,4.7
2006-02-01,75.381,76.339,3.5,4.1,58.3,4,0.7,4.25,4.87,971,331028.8667,83.99,70.5,65.3,115.485,66,70.4,117.6,112.4,84.18,60.37,53.67,-6.7,58.31,61.76,61.41,563.9,"1,371.59",199.4,4.49,4.8
2006-03-01,75.827,76.867,3.5,3.9,59.4,4,0.4,4.27,4.93,971.6,331823.3333,83.88,71,66,114.426,67,71.1,117.9,112.2,84.52,66.84,61.75,-5.09,58.75,65.91,66.63,586.7,"1,359.60",199.7,4.59,4.7
2006-04-01,75.902,76.943,3.5,3.5,60.4,4,0.7,4.33,4.95,943.2,332617.8,84.03,71.7,66.7,112.223,67.3,71.4,116.6,111.8,85.77,63.15,57.84,-5.31,59.07,72.5,71.88,654.5,"1,419.73",200.7,4.79,4.7
2006-05-01,76.05,77.171,3.4,3.2,60.9,4,1,4.36,4.78,945.7,334355.4667,84.32,72,67.6,111.946,67.5,71.6,110.6,111.1,87.35,67.81,62.21,-5.6,59.31,70.41,71.29,649,"1,317.70",201.3,4.94,4.6
2006-06-01,75.902,77.094,3.5,3.4,60.9,4.25,1.2,4.47,4.89,948.75,336093.1333,84.17,70.5,62.9,110.501,67.5,71,105.2,110.5,88.15,67.02,62.88,-4.14,59.38,73.51,73.93,616,"1,295.15",201.8,4.99,4.6
2006-07-01,76.199,77.246,3.5,3.4,60.7,4.25,1.1,4.63,4.89,955.15,337830.8,84.43,69.2,63.9,102.053,64.7,70.5,103.9,109.9,89.38,65.68,59.1,-6.58,59.41,75.15,74.4,646.8,"1,297.82",202.9,5.24,4.7
