date,cpi_kr,core_cpi_kr,unemployment_seasonal_kr,unemployment_raw_kr,employment_rate_kr,base_rate_kr,m2_money_supply_kr,cd_rate_kr,gov_bond_3y_kr,usd_krw_exchange_rate_kr,gdp_kr,ppi_kr,industrial_production_index_kr,facility_investment_index_kr,manufacturing_utilization_rate_kr,retail_sales_index_kr,services_output_index_kr,economic_sentiment_raw_kr,economic_sentiment_seasonal_kr,import_price_index_kr,import_value_index_kr,export_value_index_kr,trade_balance_kr,jeonse_index_kr,brent_oil,wti_oil_price,gold_price,kospi_index_kr,cpi_us,base_rate_us,unemployment_us,core_cpi_kr_lag1,core_cpi_kr_lag2,core_cpi_kr_lag3,unemployment_seasonal_kr_lag1,unemployment_seasonal_kr_lag2,unemployment_seasonal_kr_lag3,unemployment_raw_kr_lag1,unemployment_raw_kr_lag2,unemployment_raw_kr_lag3,employment_rate_kr_lag1,employment_rate_kr_lag2,employment_rate_kr_lag3,base_rate_kr_lag1,base_rate_kr_lag2,base_rate_kr_lag3,m2_money_supply_kr_lag1,m2_money_supply_kr_lag2,m2_money_supply_kr_lag3,cd_rate_kr_lag1,cd_rate_kr_lag2,cd_rate_kr_lag3,gov_bond_3y_kr_lag1,gov_bond_3y_kr_lag2,gov_bond_3y_kr_lag3,usd_krw_exchange_rate_kr_lag1,usd_krw_exchange_rate_kr_lag2,usd_krw_exchange_rate_kr_lag3,gdp_kr_lag1,gdp_kr_lag2,gdp_kr_lag3,ppi_kr_lag1,ppi_kr_lag2,ppi_kr_lag3,industrial_production_index_kr_lag1,industrial_production_index_kr_lag2,industrial_production_index_kr_lag3,facility_investment_index_kr_lag1,facility_investment_index_kr_lag2,facility_investment_index_kr_lag3,manufacturing_utilization_rate_kr_lag1,manufacturing_utilization_rate_kr_lag2,manufacturing_utilization_rate_kr_lag3,retail_sales_index_kr_lag1,retail_sales_index_kr_lag2,retail_sales_index_kr_lag3,services_output_index_kr_lag1,services_output_index_kr_lag2,services_output_index_kr_lag3,economic_sentiment_raw_kr_lag1,economic_sentiment_raw_kr_lag2,economic_sentiment_raw_kr_lag3,economic_sentiment_seasonal_kr_lag1,economic_sentiment_seasonal_kr_lag2,economic_sentiment_seasonal_kr_lag3,import_price_index_kr_lag1,import_price_index_kr_lag2,import_price_index_kr_lag3,import_value_index_kr_lag1,import_value_index_kr_lag2,import_value_index_kr_lag3,export_value_index_kr_lag1,export_value_index_kr_lag2,export_value_index_kr_lag3,trade_balance_kr_lag1,trade_balance_kr_lag2,trade_balance_kr_lag3,jeonse_index_kr_lag1,jeonse_index_kr_lag2,jeonse_index_kr_lag3,brent_oil_lag1,brent_oil_lag2,brent_oil_lag3,wti_oil_price_lag1,wti_oil_price_lag2,wti_oil_price_lag3,gold_price_lag1,gold_price_lag2,gold_price_lag3,kospi_index_kr_lag1,kospi_index_kr_lag2,kospi_index_kr_lag3,cpi_us_lag1,cpi_us_lag2,cpi_us_lag3,base_rate_us_lag1,base_rate_us_lag2,base_rate_us_lag3,unemployment_us_lag1,unemployment_us_lag2,unemployment_us_lag3,cpi_kr_ma3,cpi_kr_diff1
2005-04-01,74.41,-1.776910989,0.636527319,0.635654127,-0.093667499,0.613418052,-0.304956613,0.566259488,0.646548106,-1.193728338,-1.81066028,-1.692966811,-2.004247824,-1.857183139,0.798851991,-1.864162872,-1.942287427,1.099082505,0.383076065,-1.601652515,-1.906957569,-1.999885863,0.200854536,-1.959835606,-1.117657521,-1.071334742,-1.941056217,-2.390492947,-1.540539478,0.571094559,-0.29097141,-1.770053503,-1.794289172,-1.795279916,0.398290391,0.391638533,0.867074758,1.146593841,1.481476363,1.472268863,-0.732033056,-1.510272344,-1.430577579,0.612296066,0.611175621,0.611175621,0.997586711,-0.561930137,0.222368537,0.588112491,0.617619726,0.526780483,0.777880557,0.886058481,0.474138911,-1.023177377,-1.126794634,-0.934138338,-1.818331714,-1.825932269,-1.833468478,-1.70605472,-1.703230075,-1.708916225,-1.95349838,-2.025607012,-1.966619131,-1.870639228,-1.798769635,-1.671270946,1.340878235,0.755123983,1.733951837,-1.887427938,-1.902391329,-1.939037039,-1.918282852,-1.893723834,-1.914146987,1.138871119,0.870380079,-0.437100768,0.227326782,0.039664279,-0.125894819,-1.641965749,-1.693601067,-1.673728697,-1.739204145,-2.144045738,-2.021356653,-1.813096742,-2.250636443,-2.024224023,0.224123687,0.240838497,0.494557545,-1.95196344,-1.946980627,-1.93093528,-0.974147472,-1.149069543,-1.317051651,-0.798665653,-0.965863969,-1.1259168,-1.947244503,-1.931222433,-1.962192346,-2.240892404,-2.115345208,-2.246524479,-1.55304036,-1.568638275,-1.587428288,0.49497103,0.434687479,0.328285241,-0.29348045,-0.202834283,-0.252185455,-1.810783579,-0.320911205
2005-05-01,74.34,-1.776910989,0.636527319,0.29209648,0.26438407,0.613418052,0.477802058,0.558698301,0.532536275,-1.107475779,-1.791155814,-1.7496106,-1.996359836,-1.792055196,0.19605088,-1.864162872,-1.927326603,0.442687706,0.523116093,-1.702460912,-1.923388022,-1.978177217,0.30680755,-1.954072135,-1.1331765,-0.965001682,-1.977290772,-2.265523403,-1.54366867,0.678775178,-0.337534694,-1.762944029,-1.755669016,-1.780023564,0.63787116,0.391638533,0.382412688,0.632254269,1.136913165,1.472268863,-0.087614357,-0.719812597,-1.502792038,0.612296066,0.611175621,0.611175621,-0.305765276,1.001797172,-0.56032468,0.565436353,0.58739395,0.617451893,0.641212444,0.772354626,0.88328393,-1.194832717,-1.016616196,-1.121835012,-1.792812341,-1.800462576,-1.808047164,-1.681859109,-1.694791435,-1.691992197,-1.984991952,-1.931455863,-2.00576454,-1.841042087,-1.851894384,-1.783297696,0.787996702,1.335235438,0.740683874,-1.842089877,-1.86481221,-1.879234609,-1.925761845,-1.901197192,-1.876799468,1.090471955,1.131579822,0.86979009,0.378483146,0.2235623,0.036616467,-1.586116362,-1.62478413,-1.676347136,-1.889047932,-1.712634903,-2.120061631,-1.984170436,-1.785332298,-2.226681768,0.203590407,0.225997732,0.23781055,-1.93479414,-1.927088916,-1.922468329,-1.111820509,-0.967574337,-1.140060845,-1.066736194,-0.793925979,-0.959132152,-1.936627192,-1.945153927,-1.932911889,-2.355160584,-2.21057796,-2.083877156,-1.534141525,-1.546447662,-1.561906651,0.577332263,0.501913266,0.442679363,-0.29348045,-0.296177439,-0.205455234,-1.796834191,-0.764940971
2005-06-01,74.11,-1.776910989,0.875982834,0.29209648,0.26438407,0.613418052,0.216882501,0.558698301,0.593342585,-0.875257353,-1.771651479,-1.789471044,-1.964807885,-1.673640753,0.43977602,-1.841377591,-1.867483306,0.249630412,0.641611502,-1.637542416,-1.930820846,-1.89730187,0.544917014,-1.946867796,-0.924101365,-0.750917788,-1.938949557,-2.185017645,-1.540539478,0.699285772,-0.384097978,-1.762944029,-1.748554777,-1.74137414,0.63787116,0.63272511,0.382412688,0.289361222,0.62006837,1.126453481,0.270396032,-0.073072804,-0.708432986,0.612296066,0.611175621,0.611175621,0.476245916,-0.301308919,1.005061754,0.557877641,0.564724619,0.58722809,0.527322349,0.63591,0.769632536,-1.107322152,-1.189511591,-1.010923341,-1.773347016,-1.774993013,-1.78262572,-1.738666197,-1.670530344,-1.683530183,-1.977118559,-1.96283958,-1.911815557,-1.775928376,-1.822380634,-1.836362999,0.186877183,0.781154625,1.31777811,-1.842089877,-1.819717268,-1.84185809,-1.910803859,-1.908670551,-1.884268972,0.432243331,1.083209499,1.131168261,0.518842628,0.375007728,0.220795924,-1.686750635,-1.569100197,-1.607744018,-1.905437096,-1.861343845,-1.69054075,-1.962467057,-1.955225364,-1.763259779,0.309679021,0.20544898,0.222976279,-1.92907104,-1.910038878,-1.902712109,-1.127308726,-1.104875675,-0.959222413,-0.960546279,-1.061489755,-0.787649345,-1.973150743,-1.934437393,-1.947009887,-2.231373558,-2.323948299,-2.178330877,-1.537291331,-1.527427136,-1.539575219,0.685431381,0.584652696,0.510275889,-0.340098994,-0.296177439,-0.298915676,-1.803963878,-1.272403561
2005-07-01,74.41,-1.776910989,0.875982834,0.463875304,0.121163442,0.613418052,0.738721615,0.558698301,0.844168613,-0.976438239,-1.752147013,-1.735974132,-1.941143922,-1.513781256,0.328146185,-1.803402122,-1.852522482,-0.039955529,0.73856229,-1.518261275,-1.911651985,-1.921990134,0.423014083,-1.943265626,-0.760721002,-0.558573097,-1.941688215,-1.966241392,-1.502989175,0.81209404,-0.384097978,-1.762944029,-1.748554777,-1.734254509,0.877451928,0.63272511,0.624743723,0.289361222,0.275505172,0.607730408,0.270396032,0.286227081,-0.058502853,0.612296066,0.611175621,0.611175621,0.215575518,0.480554736,-0.299426941,0.557877641,0.557168175,0.564560237,0.588063733,0.522206145,0.633250863,-0.871716784,-1.101368841,-1.184969347,-1.753881821,-1.755565681,-1.757204407,-1.778641555,-1.727491166,-1.659201893,-1.945624988,-1.95499365,-1.943131885,-1.657539811,-1.757450385,-1.806882275,0.429922421,0.178731191,0.766579129,-1.819420847,-1.819717268,-1.797006267,-1.850971914,-1.893723834,-1.891738476,0.238646677,0.425373109,1.082764896,0.637608343,0.515635627,0.372473123,-1.621944271,-1.669436341,-1.552233099,-1.912851242,-1.877608885,-1.838598217,-1.881611331,-1.933671766,-1.932465627,0.548093216,0.31161753,0.202436519,-1.921917165,-1.904355532,-1.885778207,-0.918648029,-1.120322076,-1.096026901,-0.746750583,-0.955500584,-1.054504782,-1.934503729,-1.971302268,-1.936165274,-2.151629581,-2.201133906,-2.290773814,-1.534141525,-1.530597224,-1.520433992,0.70602169,0.693248197,0.593471614,-0.386717537,-0.342849017,-0.298915676,-1.803963878,0.408566268
2005-08-01,74.64,-1.76067442,0.636527319,0.29209648,-0.523329382,0.613418052,1.260560729,0.551137115,1.003785177,-0.850376808,-1.735981296,-1.711848074,-1.909591971,-1.797975918,0.467683479,-1.788211935,-1.822600833,0.394423383,0.846285389,-1.474454484,-1.854927802,-1.950934995,0.1803475,-1.933899985,-0.430942696,-0.163014114,-1.936842897,-2.025554725,-1.465438871,0.935157605,-0.430661263,-1.762944029,-1.748554777,-1.734254509,0.877451928,0.873811687,0.624743723,0.460807745,0.275505172,0.261915026,0.127191876,0.286227081,0.302569443,0.612296066,0.611175621,0.611175621,0.736916313,0.219933518,0.483266276,0.557877641,0.557168175,0.557004286,0.83862194,0.582848201,0.519599469,-0.974373408,-0.864061436,-1.096240011,-1.734416496,-1.73613848,-1.737813878,-1.724990416,-1.767574708,-1.716320487,-1.922004809,-1.923609934,-1.935302803,-1.497715249,-1.639395387,-1.742024683,0.318603991,0.422303629,0.167288961,-1.781639129,-1.797169797,-1.797006267,-1.836013927,-1.833936965,-1.876799468,-0.051748304,0.231891818,0.424479131,0.734780292,0.634628464,0.513316237,-1.502869163,-1.604821965,-1.652257492,-1.89373055,-1.88496688,-1.854792003,-1.906293605,-1.853374048,-1.910999214,0.426034274,0.550211367,0.308558611,-1.918340228,-1.89725135,-1.880133573,-0.755591526,-0.912224734,-1.111417405,-0.554664826,-0.742109051,-0.948796202,-1.93726423,-1.932294086,-1.973470744,-1.934923487,-2.122016504,-2.168964078,-1.496343854,-1.527427136,-1.523624197,0.819268385,0.713933055,0.702666003,-0.386717537,-0.389520595,-0.345645897,-1.794664286,0.186551385
2005-09-01,75.01,-1.76067442,1.354893865,0.29209648,-0.165277813,0.613418052,-1.870473955,0.702360844,1.148200163,-0.808909232,-1.719815579,-1.673036589,-1.893815995,-1.786134474,0.605360276,-1.773021747,-1.830081245,0.712967917,0.954008487,-1.405841439,-1.761430702,-1.823237079,0.249843564,-1.900039591,-0.58354599,-0.290613786,-1.86479512,-1.733485352,-1.380950689,0.996689387,-0.384097978,-1.746693801,-1.748554777,-1.734254509,0.63787116,0.873811687,0.867074758,0.289361222,0.447786771,0.261915026,-0.517226823,0.142507127,0.302569443,0.612296066,0.611175621,0.611175621,1.258257108,0.741175954,0.222368537,0.550318928,0.557168175,0.557004286,0.998068072,0.832996682,0.580213546,-0.846473351,-0.967459662,-0.857353335,-1.71828322,-1.716711148,-1.71842348,-1.700794805,-1.713778376,-1.756515054,-1.890511238,-1.900072147,-1.903986475,-1.781847804,-1.48002114,-1.624101787,0.457752028,0.310743734,0.409594553,-1.766526442,-1.759590679,-1.774580355,-1.806097955,-1.818990248,-1.817043439,0.383844168,-0.058330119,0.230865671,0.842749124,0.731986239,0.63249118,-1.459138039,-1.486099616,-1.587843877,-1.837148912,-1.865990999,-1.862117763,-1.935231444,-1.877885983,-1.8310263,0.183057127,0.428060455,0.547048041,-1.90904019,-1.893699259,-1.87307778,-0.426466921,-0.749608462,-0.904073104,-0.159638341,-0.550386415,-0.735969595,-1.932380267,-1.935080385,-1.933996351,-1.99367557,-1.907013138,-2.090493879,-1.458546184,-1.489386085,-1.520433992,0.942810235,0.827699771,0.723464934,-0.433336081,-0.389520595,-0.392376119,-1.76676551,0.630581151
2005-10-01,74.86,-1.76067442,1.11543835,0.29209648,0.049553129,0.81589727,-1.348634841,0.876268133,1.368623037,-0.809738583,-1.703649861,-1.649959489,-1.846488069,-1.638116421,1.187695918,-1.765426654,-1.807640009,0.568174947,1.061731586,-1.432231072,-1.770819532,-1.758536802,0.450356796,-1.871942668,-0.815468511,-0.596852999,-1.876171085,-1.866919137,-1.371563113,1.078731763,-0.384097978,-1.746693801,-1.732293659,-1.734254509,1.356613465,0.63272511,0.867074758,0.289361222,0.275505172,0.434822717,-0.159216434,-0.504232666,0.158140525,0.612296066,0.611175621,0.611175621,-1.86978766,1.262418391,0.744164015,0.70149318,0.549611731,0.557004286,1.142328859,0.992182079,0.830246613,-0.804400964,-0.838635643,-0.961439672,-1.702149944,-1.700609361,-1.699032951,-1.661871429,-1.689517285,-1.702569714,-1.874764452,-1.868688431,-1.880499229,-1.770008948,-1.763353135,-1.464905878,0.595044758,0.450193603,0.298614893,-1.751413755,-1.744559032,-1.737203836,-1.813576948,-1.789096814,-1.802104432,0.703278647,0.377002786,-0.05955452,0.950717957,0.840161546,0.729997951,-1.390643508,-1.442498045,-1.469490407,-1.743886763,-1.809837883,-1.843225013,-1.807564508,-1.906624114,-1.855439084,0.252642132,0.184900229,0.424950582,-1.875416978,-1.884463822,-1.869549883,-0.578767718,-0.421372449,-0.74204529,-0.287066239,-0.156106696,-0.54475452,-1.859757856,-1.93015078,-1.93681595,-1.704369887,-1.965303588,-1.877249302,-1.373501425,-1.451345033,-1.482151537,1.00458116,0.951808915,0.837859056,-0.386717537,-0.436192172,-0.392376119,-1.752816123,-1.018672266
2005-11-01,74.56,-1.753570921,0.397071804,-0.22323999,0.049553129,0.81589727,-1.609554398,0.898951693,1.589045911,-0.858670323,-1.680996552,-1.675134507,-1.720280265,-1.572988477,1.850032941,-1.651500248,-1.725355476,0.983248129,1.158682375,-1.536734018,-1.682016847,-1.65510149,0.468585272,-1.863297461,-0.946948751,-0.712165295,-1.809179292,-1.571349513,-1.402855033,1.191540031,-0.384097978,-1.746693801,-1.732293659,-1.717981067,1.117032697,1.355984841,0.624743723,0.289361222,0.275505172,0.261915026,0.055589799,-0.144932781,-0.491789609,0.814686815,0.611175621,0.611175621,-1.348446866,-1.865036229,1.265959492,0.87534357,0.700740609,0.549448336,1.362516374,1.136206963,0.989358565,-0.805242412,-0.79625932,-0.831758334,-1.686016667,-1.684507575,-1.682961668,-1.638727801,-1.650488573,-1.678241424,-1.827524096,-1.852996573,-1.849182902,-1.622023242,-1.751547635,-1.747920828,1.175755898,0.58778414,0.437339469,-1.743857412,-1.729527385,-1.722253228,-1.791139968,-1.796570172,-1.772226417,0.558081157,0.696246917,0.376075766,1.058686789,0.948336852,0.838338808,-1.416987558,-1.374206428,-1.426024309,-1.753252,-1.717282058,-1.787317896,-1.742879927,-1.779838243,-1.884060969,0.453411981,0.254537664,0.18189676,-1.847516866,-1.851074164,-1.860377353,-0.810230512,-0.573262055,-0.414997062,-0.592893195,-0.283293702,-0.151518604,-1.871224552,-1.85684969,-1.931827428,-1.836541063,-1.678271071,-1.935062919,-1.364052008,-1.365752667,-1.443869083,1.086942394,1.013863488,0.962652644,-0.386717537,-0.389520595,-0.43910634,-1.755296014,-1.494418444
2005-12-01,74.79,-1.738349137,0.397071804,0.120317657,-0.881380951,1.018376488,0.216882501,0.959441184,1.558642756,-1.107475779,-1.658343243,-1.700309524,-1.814936118,-1.460494757,1.159788459,-1.499598374,-1.770237948,1.272834069,1.255633163,-1.583179772,-1.628813476,-1.736402496,0.0960408,-1.85753399,-0.777533229,-0.536361303,-1.764939429,-1.397546174,-1.402855033,1.273582407,-0.430661263,-1.739584326,-1.732293659,-1.717981067,0.398290391,1.114898264,1.351736828,-0.22497835,0.275505172,0.261915026,0.055589799,0.07064715,-0.130717312,0.814686815,0.813478166,0.611175621,-1.609117263,-1.343793792,-1.864813374,0.898019708,0.874538819,0.700567351,1.58270389,1.356034416,1.133316998,-0.854887829,-0.797106847,-0.789099999,-1.663408818,-1.668405789,-1.666890385,-1.663975396,-1.627282312,-1.639104609,-1.701549811,-1.805920998,-1.833524738,-1.556909531,-1.603978888,-1.736128538,1.836245246,1.169754927,0.574214383,-1.63051226,-1.722011561,-1.707302621,-1.708871044,-1.774150097,-1.779695921,0.974313963,0.551135948,0.695537976,1.155858738,1.056512158,0.946679665,-1.521309998,-1.400472435,-1.357944879,-1.66467247,-1.726576366,-1.695167546,-1.639469708,-1.715600069,-1.757787948,0.471663785,0.45545879,0.251503723,-1.838932216,-1.823367853,-1.827215127,-0.941450126,-0.80409993,-0.566337026,-0.708050259,-0.588542517,-0.2783689,-1.803698451,-1.868423547,-1.857650271,-1.543768251,-1.809403736,-1.650378411,-1.395550066,-1.356242404,-1.35773356,1.200189089,1.096602917,1.025049438,-0.386717537,-0.389520595,-0.392376119,-1.762115715,0.186551385
2006-01-01,75.23,-1.723127353,-0.081839227,0.635654127,-1.382653148,1.018376488,0.216882501,1.042614235,1.528239601,-1.502495909,-1.635689934,-1.669889711,-1.720280265,-1.478256923,1.758868575,-1.659095342,-1.658031767,1.572072875,1.309494713,-1.625930977,-1.743826645,-1.934759926,-0.099915313,-1.843845745,-0.475344219,-0.211218435,-1.647387792,-1.35414307,-1.36530473,1.340241838,-0.523787831,-1.724349737,-1.725179419,-1.717981067,0.398290391,0.391638533,1.109405793,0.117914698,-0.241339623,0.261915026,-0.875237211,0.07064715,0.085926065,1.017077565,0.813478166,0.813478166,0.215575518,-1.604415011,-1.343017896,0.958489409,0.897208151,0.874354219,1.552333198,1.575861869,1.353043027,-1.107322152,-0.847110907,-0.789953166,-1.640800969,-1.645842066,-1.650819102,-1.68922299,-1.652598233,-1.615834071,-1.796030525,-1.680386133,-1.786550246,-1.444440395,-1.539048639,-1.588724919,1.147926291,1.831676972,1.15315828,-1.47938539,-1.609274206,-1.699827317,-1.753745003,-1.691943152,-1.75728741,1.264708944,0.967120725,0.55032788,1.253030686,1.153869934,1.055020522,-1.567675527,-1.504485821,-1.384129275,-1.611602795,-1.638667695,-1.704421137,-1.720750991,-1.612903513,-1.693809617,0.098642532,0.473724347,0.452336928,-1.833209117,-1.814842834,-1.799697535,-0.772370427,-0.934965269,-0.79633957,-0.532482932,-0.703481886,-0.582809609,-1.759105743,-1.800266394,-1.869362454,-1.371609516,-1.518931332,-1.780438373,-1.395550066,-1.387943281,-1.348162946,1.282550322,1.210369633,1.108245163,-0.433336081,-0.389520595,-0.392376119,-1.750646218,0.852596034
