,³¯Â¥,CPI
0,1995-01-01,50.847
1,1995-02-01,51.055
2,1995-03-01,51.574
3,1995-04-01,51.886
4,1995-05-01,51.99
5,1995-06-01,51.835
6,1995-07-01,51.99
7,1995-08-01,52.302
8,1995-09-01,52.77
9,1995-10-01,52.511
10,1995-11-01,52.406
11,1995-12-01,52.77
12,1996-01-01,53.289
13,1996-02-01,53.499
14,1996-03-01,53.862
15,1996-04-01,54.226
16,1996-05-01,54.538
17,1996-06-01,54.538
18,1996-07-01,54.798
19,1996-08-01,55.057
20,1996-09-01,55.162
21,1996-10-01,55.162
22,1996-11-01,55.162
23,1996-12-01,55.369
24,1997-01-01,55.786
25,1997-02-01,56.097
26,1997-03-01,56.305
27,1997-04-01,56.565
28,1997-05-01,56.617
29,1997-06-01,56.721
30,1997-07-01,56.825
31,1997-08-01,57.24
32,1997-09-01,57.502
33,1997-10-01,57.502
34,1997-11-01,57.553
35,1997-12-01,59.009
36,1998-01-01,60.413
37,1998-02-01,61.453
38,1998-03-01,61.349
39,1998-04-01,61.557
40,1998-05-01,61.245
41,1998-06-01,60.985
42,1998-07-01,60.985
43,1998-08-01,61.192
44,1998-09-01,61.453
45,1998-10-01,61.66
46,1998-11-01,61.453
47,1998-12-01,61.349
48,1999-01-01,61.297
49,1999-02-01,61.557
50,1999-03-01,61.66
51,1999-04-01,61.816
52,1999-05-01,61.712
53,1999-06-01,61.349
54,1999-07-01,61.14
55,1999-08-01,61.765
56,1999-09-01,61.921
57,1999-10-01,62.389
58,1999-11-01,62.284
59,1999-12-01,62.18
60,2000-01-01,62.456
61,2000-02-01,62.647
62,2000-03-01,62.962
63,2000-04-01,62.709
64,2000-05-01,62.393
65,2000-06-01,62.709
66,2000-07-01,62.962
67,2000-08-01,63.277
68,2000-09-01,64.098
69,2000-10-01,64.035
70,2000-11-01,63.656
71,2000-12-01,63.908
72,2001-01-01,64.604
73,2001-02-01,64.919
74,2001-03-01,65.488
75,2001-04-01,65.74
76,2001-05-01,65.677
