³¯Â¥,(³ó»ê¹°)Ã¤¼Ò,(³ó»ê¹°)°ú½Ç,(³ó»ê¹°)°î¹°,(³ó»ê¹°)±âÅ¸³ó»ê¹°,Ãà»ê¹°,¼ö»ê¹°,³óÃà¼ö»ê¹°
2005-01-01,50.021,75.37,76.091,46.737,63.751,54.507,62.157
2005-02-01,54.884,81.287,76.015,47.521,63.56,54.993,64.05
2005-03-01,55.216,83.0,75.866,47.06,63.56,54.885,64.302
2005-04-01,53.447,88.528,75.641,46.829,63.306,54.777,64.681
2005-05-01,48.749,85.647,76.015,46.921,63.306,55.046,63.482
2005-06-01,44.328,79.73,76.015,46.137,64.323,52.944,61.526
2005-07-01,51.291,80.041,75.866,45.999,64.704,52.351,62.788
2005-08-01,57.206,77.627,75.716,45.583,63.625,52.674,63.293
2005-09-01,65.331,77.862,75.042,45.63,64.768,54.185,65.249
2005-10-01,64.557,73.734,73.918,44.846,63.242,53.645,63.799
2005-11-01,56.984,64.469,71.597,44.937,61.527,53.376,60.138
2005-12-01,61.295,67.038,70.848,45.446,63.116,53.645,61.716
2006-01-01,67.486,69.53,70.324,45.815,64.578,54.13,63.672
2006-02-01,67.265,67.894,70.249,46.829,63.878,54.238,63.293
2006-03-01,69.642,66.96,69.724,46.275,63.497,53.806,63.293
2006-04-01,66.547,69.997,69.35,45.537,62.607,54.077,62.915
2006-05-01,59.306,70.776,69.2,45.353,64.005,54.291,61.968
2006-06-01,51.623,69.141,69.501,45.076,66.865,54.022,60.896
2006-07-01,53.669,69.374,69.501,44.799,66.739,54.507,61.337
2006-08-01,69.144,75.37,70.698,45.537,66.23,54.454,65.312
2006-09-01,72.902,74.357,71.672,47.937,65.468,54.4,66.069
2006-10-01,59.195,77.939,72.046,48.121,64.069,54.723,63.861
2006-11-01,49.909,74.669,71.297,48.582,61.845,54.615,61.085
2006-12-01,55.05,77.549,70.923,49.321,62.416,54.562,62.598
2007-01-01,56.93,78.562,70.698,49.966,62.734,54.346,63.167
2007-02-01,59.913,85.959,70.848,51.074,64.26,54.723,65.439
2007-03-01,55.602,86.348,71.073,50.382,62.734,54.723,64.302
2007-04-01,54.442,87.749,71.148,49.92,61.972,54.13,63.987
2007-05-01,51.015,86.037,71.073,51.628,61.399,54.022,63.104
2007-06-01,50.297,80.976,71.222,49.829,63.051,53.861,62.347
2007-07-01,56.432,83.077,71.148,48.26,62.798,53.429,63.482
2007-08-01,59.085,81.287,71.148,47.383,62.671,53.537,63.609
2007-09-01,73.953,80.119,71.073,46.645,63.179,55.1,66.511
2007-10-01,77.821,77.549,71.597,46.091,62.162,55.37,66.701
2007-11-01,72.46,67.583,72.496,45.491,60.955,54.777,63.861
2007-12-01,70.802,69.063,73.545,45.861,62.162,54.831,64.239
2008-01-01,69.752,67.038,73.694,46.968,63.434,55.748,64.366
2008-02-01,70.139,67.894,74.143,47.707,63.878,57.096,65.059
2008-03-01,64.28,66.804,74.593,46.691,63.56,56.072,63.482
2008-04-01,59.969,70.309,75.042,46.507,65.785,56.448,63.861
2008-05-01,54.774,71.709,75.491,46.921,68.2,57.15,63.861
2008-06-01,49.909,67.817,75.716,46.091,71.505,57.473,63.167
2008-07-01,51.845,73.033,76.241,46.045,71.823,56.988,64.366
2008-08-01,59.306,70.776,76.69,47.153,72.268,57.742,65.818
2008-09-01,58.643,69.063,77.438,48.075,73.032,58.012,65.88
