날짜,TV,김치냉장고,냉장고,세탁기,소파,소형주방가전,손목시계,에어컨,영상음향기기,저장장치,전기밥솥,전자레인지,청소기,침대,컴퓨터,휴대전화기,침구,커튼,프라이팬,서적,장난감
2005-01-01,643.754,135.722,89.814,87.231,65.644,118.672,95.533,84.28,176.343,257.499,129.501,97.202,99.474,58.979,306.054,270.293,69.362,94.899,88.547,65.681,83.218
2005-02-01,632.873,135.854,89.633,85.285,65.644,118.317,95.63,84.28,169.415,256.988,129.63,97.396,99.572,58.979,303.822,270.293,69.709,93.392,89.355,66.41,83.386
2005-03-01,627.432,135.854,89.362,84.693,65.644,118.317,95.63,84.28,168.095,255.455,130.02,97.3,98.697,58.979,302.427,252.226,69.709,95.183,89.535,66.475,83.808
2005-04-01,627.432,135.591,89.181,84.862,65.644,118.317,95.343,80.723,165.951,255.199,130.02,97.3,98.017,58.979,294.894,252.226,69.709,94.146,89.355,66.475,83.976
2005-05-01,625.014,135.722,89.181,85.031,65.644,118.317,95.63,80.641,163.971,255.199,130.02,97.3,97.628,58.979,290.71,252.226,69.709,94.146,89.893,66.41,84.145
2005-06-01,612.322,134.407,89.181,84.947,65.644,118.081,95.63,80.236,162.817,254.688,129.891,96.622,97.24,58.979,271.18,232.048,69.571,94.146,89.984,66.475,84.988
2005-07-01,605.672,133.749,89.091,85.285,65.644,117.963,95.247,79.913,162.817,254.177,130.02,96.816,97.142,58.979,266.437,217.267,69.571,94.146,89.984,66.475,85.241
2005-08-01,603.86,133.749,89.0,84.778,65.644,117.963,95.63,79.347,162.651,254.943,129.891,96.332,95.297,58.979,266.158,222.194,69.571,92.637,89.984,65.616,84.651
2005-09-01,602.045,133.355,88.91,83.762,65.644,117.728,95.63,79.266,162.486,254.688,129.891,96.332,95.782,58.979,265.88,211.87,69.571,94.146,89.984,65.814,84.651
2005-10-01,581.494,122.177,94.155,83.593,65.644,117.373,95.247,79.266,162.156,255.711,130.02,96.429,95.782,58.979,260.858,211.636,69.571,94.146,89.984,65.88,84.651
2005-11-01,550.061,121.519,94.064,83.17,65.644,117.373,95.63,79.266,161.496,256.222,130.02,95.849,95.588,58.979,260.299,211.636,69.571,94.899,89.984,66.012,84.566
2005-12-01,541.6,120.861,93.975,82.578,65.644,117.373,95.63,79.266,161.661,255.455,130.02,95.849,95.588,58.979,259.742,211.636,69.571,94.994,89.984,66.012,84.651
2006-01-01,539.785,119.941,94.064,82.662,65.644,117.373,95.63,79.266,161.167,255.455,130.02,96.235,86.555,58.979,257.509,196.854,69.571,95.277,89.984,66.012,84.651
2006-02-01,520.443,119.546,94.064,82.408,65.644,117.373,95.533,79.266,159.682,255.966,129.891,96.235,86.651,58.979,237.143,196.854,69.571,95.183,90.073,66.475,84.651
