날짜,소형승용차,중형승용차,대형승용차,자동차타이어
2005-01-01,90.594,92.559,94.287,79.149
2005-02-01,90.594,92.559,94.287,79.149
2005-03-01,90.594,92.559,94.664,79.068
2005-04-01,90.594,93.024,94.664,79.068
2005-05-01,90.594,93.024,94.664,78.988
2005-06-01,90.594,93.024,94.664,79.229
2005-07-01,90.594,93.024,94.664,80.751
2005-08-01,90.594,93.024,94.664,81.231
2005-09-01,94.08,93.397,94.664,81.231
2005-10-01,94.08,93.77,94.664,81.391
2005-11-01,94.08,93.77,94.664,80.991
2005-12-01,94.08,93.77,94.664,80.991
2006-01-01,95.275,95.445,97.219,80.991
2006-02-01,95.275,95.445,97.219,80.991
2006-03-01,95.275,95.445,98.07,80.991
2006-04-01,95.275,95.445,98.07,80.991
2006-05-01,95.275,95.445,98.07,80.991
2006-06-01,95.275,95.445,98.07,81.071
2006-07-01,95.458,95.445,98.164,84.515
2006-08-01,95.458,96.097,98.164,84.756
2006-09-01,95.366,96.469,98.638,84.836
2006-10-01,95.366,96.469,98.638,84.836
2006-11-01,95.366,96.469,98.638,84.756
2006-12-01,95.366,96.469,98.638,84.836
2007-01-01,95.366,96.469,98.638,84.836
2007-02-01,95.366,96.469,98.638,84.996
2007-03-01,95.366,96.469,98.638,84.756
2007-04-01,95.366,96.469,98.638,84.996
2007-05-01,95.366,96.842,98.638,84.996
2007-06-01,95.642,96.842,98.638,85.237
2007-07-01,95.642,97.866,98.164,86.438
2007-08-01,95.642,97.866,98.164,88.041
2007-09-01,96.009,97.866,98.164,88.921
2007-10-01,96.009,97.866,98.164,89.002
2007-11-01,96.009,97.866,98.164,89.002
2007-12-01,96.009,97.866,98.164,89.162
2008-01-01,96.009,97.866,98.731,89.082
2008-02-01,96.009,97.866,98.731,89.082
2008-03-01,96.1,97.866,98.826,92.927
2008-04-01,96.1,97.866,98.826,93.888
2008-05-01,96.1,97.866,98.826,94.128
2008-06-01,96.1,97.866,98.826,94.288
2008-07-01,96.1,97.866,98.826,98.774
2008-08-01,97.202,98.983,100.339,99.897
2008-09-01,97.202,98.983,100.339,100.457
2008-10-01,97.202,99.542,100.339,100.457
2008-11-01,97.202,99.542,100.339,100.297
2008-12-01,97.202,99.542,100.339,100.217
2009-01-01,95.458,97.68,96.935,100.217
2009-02-01,95.091,96.935,96.557,100.137
2009-03-01,95.091,96.469,96.368,99.817
2009-04-01,95.091,96.469,96.368,99.817
2009-05-01,95.091,96.469,96.368,99.015
2009-06-01,95.55,97.587,97.124,98.774
2009-07-01,98.303,99.263,100.623,98.614
2009-08-01,97.937,99.076,100.623,98.375
2009-09-01,97.477,98.704,100.434,98.454
2009-10-01,97.937,100.473,100.434,98.375
2009-11-01,97.202,100.473,100.718,98.134
2009-12-01,97.202,100.473,101.663,98.214
2010-01-01,96.949,100.845,101.241,98.227
2010-02-01,96.852,100.845,101.241,98.227
2010-03-01,96.176,100.845,100.74,102.533
2010-04-01,96.176,100.341,100.74,102.841
2010-05-01,95.692,101.755,100.14,102.943
2010-06-01,95.209,101.958,100.14,102.943
2010-07-01,95.209,101.958,100.14,102.635
2010-08-01,97.239,101.553,99.74,102.635
2010-09-01,98.302,101.553,99.139,102.739
2010-10-01,97.529,100.239,99.139,102.841
2010-11-01,97.239,100.239,99.04,102.841
2010-12-01,97.239,100.239,99.04,108.891
2011-01-01,97.722,101.048,101.241,109.608
2011-02-01,97.626,100.239,101.44,110.634
2011-03-01,97.818,100.239,101.44,110.838
2011-04-01,98.109,100.644,101.241,116.273
2011-05-01,98.109,100.542,101.84,116.888
2011-06-01,98.012,100.341,101.341,116.888
2011-07-01,98.109,100.341,101.14,116.888
2011-08-01,98.689,100.441,101.04,116.786
2011-09-01,98.689,101.048,101.04,116.888
2011-10-01,98.689,101.149,102.641,116.683
2011-11-01,98.496,100.845,103.041,116.17
2011-12-01,98.689,100.745,102.941,116.068
2012-01-01,99.114,101.472,103.191,116.17
2012-02-01,99.587,101.604,101.97,116.16
2012-03-01,98.911,101.523,101.071,116.303
2012-04-01,99.027,101.442,100.52,115.822
2012-05-01,99.027,101.442,100.52,115.73
2012-06-01,98.602,101.442,100.47,115.504
2012-07-01,98.157,101.897,100.47,115.412
2012-08-01,98.689,101.897,100.47,115.33
2012-09-01,98.881,99.118,98.689,115.371
2012-10-01,98.881,99.118,98.689,115.381
2012-11-01,98.881,101.138,99.85,115.114
2012-12-01,98.881,101.128,100.43,115.084
2013-01-01,100.719,102.695,101.031,115.053
2013-02-01,101.453,102.695,101.031,115.257
2013-03-01,101.231,102.533,100.92,115.155
2013-04-01,101.047,102.533,100.92,114.971
2013-05-01,99.936,101.887,100.77,114.305
2013-06-01,99.936,102.493,100.92,114.427
2013-07-01,99.278,102.493,100.92,114.376
2013-08-01,100.235,102.2,100.92,114.213
2013-09-01,100.235,102.684,101.061,114.213
2013-10-01,100.361,101.988,100.9,114.171
2013-11-01,99.037,101.372,100.46,114.119
2013-12-01,98.428,100.552,100.02,114.15
2014-01-01,100.912,101.958,99.67,114.068
